title,apple_title,price,apple_price,rating,apple_ratings,apple_reviews,description,discount
"Apple iPhone 15 Pro (White Titanium, 1 TB)",Apple iPhone 15 Pro ,"₹1,30,999","1,30,999","2,234 Ratings & 109 Reviews","2,234 ",�109 ,"1 TB ROM15.49 cm (6.1 inch) Super Retina XDR Display48MP + 12MP + 12MP | 12MP Front CameraA17 Pro Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",18% off
"Apple iPhone 13 Pro Max (Alpine Green, 1 TB)",Apple iPhone 13 Pro Max ,"₹1,79,900","1,79,900","2,076 Ratings & 195 Reviews","2,076 ",�195 ,1 TB ROM17.02 cm (6.7 inch) Super Retina XDR Display12MP + 12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,N/A
"Apple iPhone XR (Coral, 128 GB) (Includes EarPods, Power Adapter)",Apple iPhone XR ,"₹52,900","52,900","1,00,904 Ratings & 8,489 Reviews","1,00,904 ","�8,489 ",128 GB ROM15.49 cm (6.1 inch) Display12MP Rear Camera | 7MP Front CameraA12 Bionic Chip ProcessoriOS 13 CompatibleBrand Warranty of 1 Year,N/A
"Apple iPhone 13 (Pink, 512 GB)",Apple iPhone 13 ,"₹79,900","79,900","2,85,380 Ratings & 13,737 Reviews","2,85,380 ","�13,737 ",512 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,N/A
"Apple iPhone 14 ((PRODUCT)RED, 256 GB)",Apple iPhone 14 ,"₹60,999","60,999","3,06,139 Ratings & 11,648 Reviews","3,06,139 ","�11,648 ","256 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",12% off
"Apple iPhone X (Space Gray, 64 GB)",Apple iPhone X ,"₹91,900","91,900","10,960 Ratings & 862 Reviews","10,960 ",�862 ,"64 GB ROM14.73 cm (5.8 inch) Super Retina HD Display12MP + 12MP | 7MP Front CameraA11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor ProcessoriOS 13 CompatibleBrand Warranty of 1 Year",N/A
"Apple iPhone SE 3rd Gen (Midnight, 128 GB)",Apple iPhone SE 3rd Gen ,"₹52,600","52,600","1,407 Ratings & 138 Reviews","1,407 ",�138 ,"128 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraA15 Bionic Chip, 6 Core Processor ProcessorBrand Warranty of 1 Year",N/A
"Apple iPhone SE (Black, 64 GB)",Apple iPhone SE ,"₹39,900","39,900","1,54,645 Ratings & 12,015 Reviews","1,54,645 ","�12,015 ","64 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraA13 Bionic Chip with 3rd Gen Neural Engine ProcessorWater and Dust Resistant (1 meter for Upto 30 minutes, IP67)Fast Charge CapableWireless charging (Works with Qi Chargers | Qi Chargers are Sold SeparatelyBrand Warranty of 1 Year",N/A
"Apple iPhone 14 (Purple, 512 GB)",Apple iPhone 14 ,"₹66,999","66,999","3,06,139 Ratings & 11,648 Reviews","3,06,139 ","�11,648 ","512 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",25% off
"Apple iPhone 12 (Red, 128 GB)",Apple iPhone 12 ,"₹54,900","54,900","2,11,525 Ratings & 13,924 Reviews","2,11,525 ","�13,924 ","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA14 Bionic Chip with Next Generation Neural Engine ProcessorCeramic ShieldIndustry-leading IP68 Water ResistanceAll Screen OLED Display12MP TrueDepth Front Camera with Night Mode, 4K Dolby Vision HDR RecordingBrand Warranty for 1 Year",N/A
