title,price,fridge_price,rating,fridge_ratings,fridge_reviews,description,discount
Midea 544 L Frost Free French Door Bottom Mount Refrigerator  with Four Door,"₹72,492","72,492",37 Ratings & 5 Reviews,37,�5 ,Reciprocatory CompressorBuilt-in Stabilizer1 Year on Product and 10 Years on Compressor from Midea,29% off
"LG 205 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Smart Inverter Compressor,...","₹24,999","24,999","3,312 Ratings & 347 Reviews","3,312",�347 ,Smart Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor from LG,3% off
SAMSUNG 215 L Direct Cool Single Door 5 Star Refrigerator,"₹21,500","21,500",4 Ratings & 0 Reviews,4,�0 ,Digital Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,17% off
LG 185 L Direct Cool Single Door 3 Star Refrigerator,"₹17,850","17,850",17 Ratings & 2 Reviews,17,�2 ,Smart Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor From LG,13% off
Haier 235 L Frost Free Double Door 3 Star Refrigerator,"₹30,100","30,100",3 Ratings & 0 Reviews,3,�0 ,Reciprocating CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years on Compressor From Haier,5% off
SAMSUNG 301 L Frost Free Double Door 2 Star Convertible Refrigerator,"₹39,400","39,400",10 Ratings & 0 Reviews,10,�0 ,Digital Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,21% off
Haier 237 L Frost Free Double Door 2 Star Refrigerator,"₹25,089","25,089",16 Ratings & 1 Reviews,16,�1 ,Normal CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor,25% off
"Godrej 670 L Frost Free Multi-Door Refrigerator  with Four Door, Triple Zones with Convertible Mode, A...","₹86,390","86,390",4 Ratings & 0 Reviews,4,�0 ,Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,28% off
SAMSUNG 256 L Frost Free Double Door 2 Star Refrigerator,"₹32,900","32,900",N/A,#VALUE!,#VALUE!,Digital Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 20 Years Warranty on Compressor,25% off
Godrej 180 L Direct Cool Single Door 4 Star Refrigerator  with Large Vegetable Tray And 2.25 L Bottle ...,"₹14,490","14,490","6,825 Ratings & 449 Reviews","6,825",�449 ,Fixed speed compressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,19% off
Godrej 430 L Frost Free Double Door Bottom Mount 3 Star Refrigerator,"₹49,690","49,690",N/A,#VALUE!,#VALUE!,Intelligent Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years on Compressor,28% off
SAMSUNG 530 L Frost Free Double Door 1 Star Convertible Refrigerator,"₹65,490","65,490",N/A,#VALUE!,#VALUE!,Digital Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warrranty on Compressor,31% off
Godrej 233 L Frost Free Double Door 2 Star Refrigerator,"₹24,994","24,994",N/A,#VALUE!,#VALUE!,Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty and 10 Years Compressor Warranty,21% off
SAMSUNG 189 L Direct Cool Single Door 4 Star Refrigerator,"₹19,700","19,700",130 Ratings & 10 Reviews,130,�10 ,"Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on product, 20 years on compressor, For all Refrigerators with Digital Inverter Compressors, sold on or after 1st Dec 2022 (All Refrigerator apart from Non-Digital Inverter Technology Direct Cool Models) the Warranty period on the Digital Inverter Compressor shall be revised from 10 years to 20 years.",10% off
"Godrej 670 L Frost Free Multi-Door Refrigerator  with Four Door, Triple Zones with Convertible Mode, A...","₹94,999","94,999",5 Ratings & 0 Reviews,5,�0 ,Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,20% off
SAMSUNG 236 L Frost Free Double Door 1 Star Refrigerator,"₹24,900","24,900",N/A,#VALUE!,#VALUE!,Digital Inverter CompressorBuilt-in Stabilizer1 Year Standard Warranty on Product and 20 Years Warranty on the Compressor,14% off
LG 242 L Frost Free Double Door Top Mount 2 Star Refrigerator,"₹27,751","27,751",7 Ratings & 1 Reviews,7,�1 ,Smart Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years on Compressor from LG,13% off
LG 398 L Frost Free Double Door 3 Star Convertible Refrigerator  with Smart Inverter with Door Cooling...,"₹57,990","57,990",87 Ratings & 11 Reviews,87,�11 ,Smart Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor From LG,16% off
"LG 635 L Frost Free Side by Side Refrigerator  with Smart Inverter Compressor, AI ThinQ (Wi-Fi), Door ...","₹1,01,990","1,01,990",N/A,#VALUE!,#VALUE!,Smart Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor from LG,35% off
Panasonic 307 L Frost Free Double Door 3 Star Refrigerator,"₹34,490","34,490",5 Ratings & 1 Reviews,5,�1 ,Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years on Compressor,11% off
LG 264 L Frost Free Double Door 2 Star Convertible Refrigerator  with Smart Inverter Compressor,"₹26,990","26,990","19,451 Ratings & 1,607 Reviews","19,451","�1,607 ",Smart InverterBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor from LG,29% off
Haier 325 L Frost Free Double Door Bottom Mount 3 Star Refrigerator,"₹37,999","37,999",8 Ratings & 1 Reviews,8,�1 ,InverterBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor,25% off
LG 380 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹49,990","49,990",N/A,#VALUE!,#VALUE!,Smart Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor from LG,25% off
Lloyd 260 L Frost Free Double Door 2 Star Refrigerator,"₹26,990","26,990",N/A,#VALUE!,#VALUE!,Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and Additional 9 Years Warranty on Compressor,38% off
SAMSUNG 376 L Frost Free Double Door 2 Star Convertible Refrigerator,"₹49,500","49,500",N/A,#VALUE!,#VALUE!,Digital Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,27% off
SAMSUNG 523 L Frost Free Double Door 2 Star Convertible Refrigerator,"₹61,990","61,990",N/A,#VALUE!,#VALUE!,"Digital Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product, 10 Years Warranty on Compressor",23% off
Lloyd 310 L Frost Free Double Door 2 Star Refrigerator,"₹33,190","33,190",N/A,#VALUE!,#VALUE!,Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and Additional 9 Years Warranty on Compressor,32% off
Panasonic 280 L Frost Free Double Door 2 Star Refrigerator,"₹32,499","32,499",N/A,#VALUE!,#VALUE!,Digital Inverter CompressorBuilt-in Stabilizer1 Year on Product and 10 Years,6% off
LG 674 L Frost Free Side by Side Refrigerator  with Inverter Linear ThinQ (Wi-fi) InstaView Door-in-Do...,"₹1,73,990","1,73,990",N/A,#VALUE!,#VALUE!,Inverter Linear CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor,21% off
LG 246 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹43,999","43,999",282 Ratings & 25 Reviews,282,�25 ,Smart Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor From LG,N/A
LG 694 L Frost Free Side by Side Inverter Technology Star Refrigerator,"₹89,990","89,990",10 Ratings & 0 Reviews,10,�0 ,Smart Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor From LG,41% off
"IFB 187 L Direct Cool Single Door 2 Star Refrigerator  with Powered by E-Tech,with Extraordinary Stora...","₹12,990","12,990",267 Ratings & 22 Reviews,267,�22 ,Reciprocating CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor,22% off
SAMSUNG 676 L Frost Free Side by Side Inverter Technology Star Refrigerator,"₹95,212","95,212",34 Ratings & 4 Reviews,34,�4 ,"Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on product, 20 years on compressor, For all Refrigerators with Digital Inverter Compressors, sold on or after 1st Dec 2022 (All Refrigerator apart from Non-Digital Inverter Technology Direct Cool Models) the Warranty period on the Digital Inverter Compressor shall be revised from 10 years to 20 years.",24% off
SAMSUNG 386 L Frost Free Double Door 2 Star Convertible Refrigerator  with Curd Maestro,"₹54,103","54,103",N/A,#VALUE!,#VALUE!,"Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on product, 20 years on compressor, For all Refrigerators with Digital Inverter Compressors, sold on or after 1st Dec 2022 (All Refrigerator apart from Non-Digital Inverter Technology Direct Cool Models) the Warranty period on the Digital Inverter Compressor shall be revised from 10 years to 20 years.",14% off
Godrej 185 L Direct Cool Single Door 5 Star Refrigerator,"₹19,494","19,494",N/A,#VALUE!,#VALUE!,advanced inverter compressor technologyBuilt-in Stabilizer1 Year Warranty on product and 10 Years Warranty on Compressor from Godrej,22% off
"LG 343 L Frost Free Double Door 3 Star Convertible Refrigerator  with Wi-Fi, DoorCooling+, Smart Inver...","₹59,199","59,199",202 Ratings & 24 Reviews,202,�24 ,Smart Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor From LG,N/A
LG 412 L Frost Free Double Door 1 Star Refrigerator,"₹45,990","45,990",N/A,#VALUE!,#VALUE!,Smart Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor from LG,20% off
SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator,"₹18,500","18,500",6 Ratings & 0 Reviews,6,�0 ,Digital Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 20 Years Warranty on Compressor,15% off
SAMSUNG 385 L Frost Free Double Door 1 Star Convertible Refrigerator,"₹45,000","45,000",N/A,#VALUE!,#VALUE!,Digital Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,27% off
Haier 328 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹34,694","34,694",3 Ratings & 0 Reviews,3,�0 ,INVERTER CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor from Haier,36% off
"LG 655 L Frost Free Side by Side Refrigerator  with Smart Inverter Compressor, AI ThinQ (Wi-Fi), Door ...","₹88,990","88,990",N/A,#VALUE!,#VALUE!,Smart Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor from LG,35% off
SAMSUNG 635 L Direct Cool Side by Side 3 Star Refrigerator,"₹1,52,990","1,52,990",N/A,#VALUE!,#VALUE!,Digital Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 20 Years Warranty on Compressor,38% off
Voltas Beko by A Tata Product 360 L Frost Free Double Door 2 Star Refrigerator,"₹26,990","26,990","1,664 Ratings & 135 Reviews","1,664",�135 ,Pro Smart Inverter CompressorBuilt-in Stabilizer2 Years Comprehensive Warranty on Product and 12 Years Warranty on Compressor,42% off
Lloyd 188 L Direct Cool Single Door 1 Star Refrigerator,"₹14,199","14,199",N/A,#VALUE!,#VALUE!,"Normal CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 10 years on compressor by the brand.",21% off
SAMSUNG 189 L Direct Cool Single Door 3 Star Refrigerator,"₹18,994","18,994",N/A,#VALUE!,#VALUE!,"Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on product, 20 years on compressor, For all Refrigerators with Digital Inverter Compressors, sold on or after 1st Dec 2022 (All Refrigerator apart from Non-Digital Inverter Technology Direct Cool Models) the Warranty period on the Digital Inverter Compressor shall be revised from 10 years to 20 years.",4% off
Whirlpool 190 L Direct Cool Single Door 2 Star Refrigerator,"₹17,999","17,999","16,000 Ratings & 1,463 Reviews","16,000","�1,463 ",Normal CompressorBuilt-in Stabilizer1 Year on Product and 10 Years on Compressor from Whirlpool,N/A
Lloyd 310 L Frost Free Double Door Top Mount 3 Star Convertible Refrigerator  with with Inverter Techn...,"₹53,490","53,490",N/A,#VALUE!,#VALUE!,InverterBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor,N/A
Godrej 255 L Frost Free Double Door 2 Star Refrigerator,"₹27,399","27,399","2,361 Ratings & 291 Reviews","2,361",�291 ,Inverter CompressorBuilt-in Stabilizer1 Year Warranty on product and 10 Years Warranty on Compressor from Godrej,3% off
Haier 220 L Direct Cool Single Door 4 Star Refrigerator,"₹22,980","22,980","2,291 Ratings & 254 Reviews","2,291",�254 ,Inverter CompressorBuilt-in Stabilizer1 Year on Product and 10 Years on Compressor from Haier,11% off
Panasonic 237 L Frost Free Double Door 2 Star Refrigerator,"₹29,990","29,990",N/A,#VALUE!,#VALUE!,"Digital Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on the Product, 10 Years Warranty on Compressor",3% off
IFB 243 L Frost Free Double Door 2 Star Refrigerator,"₹27,300","27,300",N/A,#VALUE!,#VALUE!,"Reciprocating CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on the Product, 10 Years Warranty on Compressor",25% off
Whirlpool 192 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer,"₹17,150","17,150",4 Ratings & 0 Reviews,4,�0 ,"InverterBuilt-in Stabilizer1 Year on product, 10 years on compressor",27% off
Panasonic 257 L Frost Free Double Door 3 Star Refrigerator,"₹29,790","29,790",N/A,#VALUE!,#VALUE!,Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,19% off
CANDY 602 L Frost Free Side by Side Refrigerator  with 100 % Convertible refrigerator with Deo Fresh T...,"₹47,990","47,990",416 Ratings & 67 Reviews,416,�67 ,Inverter Compressor1 Year Warranty on Product and 10 Years on Compressor,30% off
Voltas Beko by A Tata Product 185 L Direct Cool Single Door 3 Star Refrigerator,"₹16,990","16,990",N/A,#VALUE!,#VALUE!,Reciprocating CompressorBuilt-in Stabilizer2 Year Comprehensive Warranty 10 Years Compressor Warranty,37% off
Haier 185 L Direct Cool Single Door 2 Star Refrigerator,"₹15,990","15,990",N/A,#VALUE!,#VALUE!,Normal CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on the Product and 10 Years Warranty on Compressor,25% off
Whirlpool 207 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹18,982","18,982","1,866 Ratings & 185 Reviews","1,866",�185 ,IntelliSense Inverter CompressorBuilt-in Stabilizer1 Year on Product and 10 Years on Compressor from Whirlpool,25% off
BOSCH 269 L Frost Free Double Door Top Mount 3 Star Convertible Refrigerator,"₹42,090","42,090",N/A,#VALUE!,#VALUE!,Vario Inverter CompressorBuilt-in Stabilizer1 Year on Product and 10 Years on Compressor from Bosch,9% off
TOSHIBA 252 L Frost Free Double Door 2 Star Refrigerator,"₹24,499","24,499",N/A,#VALUE!,#VALUE!,DC Inverter CompressorBuilt-in Stabilizer1 Year on Product and 10 Years on Compressor from Toshiba,10% off
LG 185 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer,"₹20,190","20,190",3 Ratings & 0 Reviews,3,�0 ,Smart Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years on Compressor from LG,17% off
IFB 265 L Frost Free Double Door 2 Star Refrigerator,"₹27,800","27,800",N/A,#VALUE!,#VALUE!,"Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on the Product, 10 Years Warranty on Compressor",33% off
Liebherr 265 L Frost Free Double Door Top Mount 3 Star Refrigerator,"₹29,990","29,990",15 Ratings & 5 Reviews,15,�5 ,Nextgen 8 Step Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product  and 10 Years on Compressor,25% off
TOSHIBA 325 L Frost Free Double Door 2 Star Refrigerator,"₹37,140","37,140",N/A,#VALUE!,#VALUE!,DC Inverter CompressorBuilt-in Stabilizer1 Year on Product and 10 Years on Compressor from Toshiba,18% off
LG 185 L Direct Cool Single Door 3 Star Refrigerator,"₹19,110","19,110","2,765 Ratings & 325 Reviews","2,765",�325 ,Smart Inverter CompressorBuilt-in Stabilizer1 Year Warranty on product and 10 Years Warranty on compressor from LG,N/A
Godrej 180 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Faster Bottle Cooling ...,"₹15,190","15,190","2,747 Ratings & 203 Reviews","2,747",�203 ,Fixed speed compressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,17% off
