title,price,fridge_price,rating,fridge_ratings,fridge_reviews,description,discount
SAMSUNG 236 L Frost Free Double Door 3 Star Convertible Refrigerator  with Digital Inverter and Displa...,"₹26,990","26,990","16,916 Ratings & 1,235 Reviews","16,916","�1,235 ","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand.",35% off
Godrej 180 L Direct Cool Single Door 2 Star Refrigerator  with Jumbo Vegetable Tray And Wide Shelf Spa...,"₹11,990","11,990","7,150 Ratings & 404 Reviews","7,150",�404 ,Reciprocatory CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 5 Years Warranty on Motor,28% off
"SAMSUNG 291 L Frost Free Double Door 2 Star Convertible Refrigerator  with Curd Maestro, Convertible 5...","₹31,990","31,990",979 Ratings & 69 Reviews,979,�69 ,Digital Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 20 Years Warranty on Compressor,36% off
"LG 201 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Smart Inverter Compressor,...","₹19,490","19,490",620 Ratings & 44 Reviews,620,�44 ,Smart Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor from LG,22% off
SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator  with Digital Inverter,"₹15,890","15,890","7,591 Ratings & 592 Reviews","7,591",�592 ,"Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand.",27% off
"SAMSUNG 322 L Frost Free Double Door 2 Star Convertible Refrigerator  with Digital Inverter, Convertib...","₹35,690","35,690","12,159 Ratings & 922 Reviews","12,159",�922 ,"Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand.",32% off
Liebherr 205 L Direct Cool Single Door 3 Star Refrigerator,"₹15,990","15,990",152 Ratings & 19 Reviews,152,�19 ,"ReciprocatingBuilt-in Stabilizer1-year comprehensive warranty (additional 2 years warranty upon registration completed within 15 days of purchase) and 10 Years Warranty on Compressor. Registration can be done via the QR Code on the product or by contacting our customer care team via email.
Offer Period: 13 Oct'2023-31 Dec' 2023",34% off
SAMSUNG 183 L Direct Cool Single Door 2 Star Refrigerator  with Digital Inverter,"₹14,490","14,490","12,637 Ratings & 932 Reviews","12,637",�932 ,"Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand.",19% off
Voltas Beko by A Tata Product 432 L Frost Free Double Door 2 Star Refrigerator,"₹37,990","37,990","1,664 Ratings & 135 Reviews","1,664",�135 ,Pro Smart Inverter CompressorBuilt-in Stabilizer2 Years Comprehensive Warranty on Product and 12 Years Warranty on Compressor,36% off
Whirlpool 235 L Frost Free Double Door 3 Star Convertible Refrigerator  with 5-in-1 Convertible Modes,"₹26,290","26,290",671 Ratings & 54 Reviews,671,�54 ,"Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product, 9 Years Warranty on Compressor",24% off
Haier 240 L Frost Free Double Door Top Mount 3 Star Convertible Refrigerator  with Convertible 5 in 1T...,"₹23,790","23,790","2,177 Ratings & 205 Reviews","2,177",�205 ,Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor & fan motor,32% off
"SAMSUNG 322 L Frost Free Double Door 3 Star Refrigerator  with Digital Inverter, Convertible 5-in-1 an...","₹37,990","37,990","12,159 Ratings & 922 Reviews","12,159",�922 ,"Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand.",36% off
Godrej 183 L Direct Cool Single Door 2 Star Refrigerator  with Jumbo Vegetable Tray and Toughened Glas...,"₹12,990","12,990","6,082 Ratings & 367 Reviews","6,082",�367 ,Fixed Speed CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,23% off
Godrej 183 L Direct Cool Single Door 3 Star Refrigerator  with Jumbo Vegetable Tray and Toughened Glas...,"₹13,790","13,790","6,082 Ratings & 367 Reviews","6,082",�367 ,Fixed Speed CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,36% off
Haier 215 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Large Storage Space1 Ho...,"₹18,990","18,990","13,149 Ratings & 1,071 Reviews","13,149","�1,071 ",Normal CompressorBuilt-in Stabilizer2 Years Warranty on Product and 10 Years Warranty on Compressor,32% off
"CANDY 240 L Frost Free Double Door 2 Star Refrigerator  with Auto frost , large Fruit and Vegetable Sp...","₹18,740","18,740","2,366 Ratings & 251 Reviews","2,366",�251 ,Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years on Compressor,29% off
Haier 237 L Frost Free Double Door 2 Star Convertible Refrigerator  with Convertible 8-in-1Turbo Icing,"₹23,490","23,490","5,611 Ratings & 506 Reviews","5,611",�506 ,Normal CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor,29% off
Voltas Beko by A Tata Product 472 L Frost Free Side by Side Refrigerator,"₹47,990","47,990","1,405 Ratings & 117 Reviews","1,405",�117 ,Pro Smart Inverter CompressorBuilt-in Stabilizer2 Years Comprehensive Warranty on Product and 12 Years Additional Warranty on Compressor,40% off
SAMSUNG 183 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Digital Inverter,"₹17,290","17,290","50,612 Ratings & 3,405 Reviews","50,612","�3,405 ","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand.",24% off
Voltas Beko 183 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹15,290","15,290","2,529 Ratings & 225 Reviews","2,529",�225 ,Reciprocating CompressorBuilt-in Stabilizer1 Years Comprehensive Warranty on Product and Additional 10 Years on Compressor,46% off
MOTOROLA 183 L Direct Cool Single Door 4 Star Refrigerator,"₹12,990","12,990",38 Ratings & 3 Reviews,38,�3 ,Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor,48% off
Godrej 234 L Direct Cool Single Door 5 Star Refrigerator  with Energy Efficient Inverter Compressor An...,"₹18,790","18,790","2,167 Ratings & 167 Reviews","2,167",�167 ,Fixed Speed CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Motor,33% off
CANDY 190 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Jumbo Fruit and vegetab...,"₹14,990","14,990","1,512 Ratings & 198 Reviews","1,512",�198 ,Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years on Compressor,28% off
Whirlpool 260 L Frost Free Double Door Refrigerator,"₹27,490","27,490","36,926 Ratings & 4,083 Reviews","36,926","�4,083 ",Reciprocating CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years on Compressor From Whirlpool,27% off
Godrej 223 L Frost Free Double Door 2 Star Refrigerator  with Advanced Inverter and 95%+ Food Surface ...,"₹19,980","19,980","4,672 Ratings & 336 Reviews","4,672",�336 ,Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,36% off
CANDY 190 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Jumbo Fruit and vegetab...,"₹14,990","14,990","1,512 Ratings & 198 Reviews","1,512",�198 ,Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years on Compressor,28% off
Godrej 234 L Direct Cool Single Door 3 Star Refrigerator  with Large Vegetable Tray With Faster Coolin...,"₹17,990","17,990","3,578 Ratings & 314 Reviews","3,578",�314 ,Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,33% off
Whirlpool 308 L Frost Free Double Door 3 Star Convertible Refrigerator  with 3 Star Convertible,"₹33,990","33,990",671 Ratings & 54 Reviews,671,�54 ,Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product And 9 Years Warranty on Compressor,28% off
Godrej 30 L Qube Personal Cooling Solution,"₹7,679","7,679","5,864 Ratings & 541 Reviews","5,864",�541 ,N/A,6% off
"SAMSUNG 301 L Frost Free Double Door 2 Star Convertible Refrigerator  with Digital Inverter, Convertib...","₹34,390","34,390","12,159 Ratings & 922 Reviews","12,159",�922 ,"Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand.",28% off
Haier 190 L Direct Cool Single Door 2 Star Refrigerator with Base Drawer  with Large Storage Space1 Ho...,"₹13,490","13,490","6,941 Ratings & 490 Reviews","6,941",�490 ,Normal CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor,35% off
"CANDY 328 L Frost Free Double Door 3 Star Refrigerator  with 10 in 1 Convertible Refrigerator , Invert...","₹26,990","26,990",343 Ratings & 65 Reviews,343,�65 ,Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years on Compressor,33% off
Godrej 180 L Direct Cool Single Door 4 Star Refrigerator  with Large Vegetable Tray and Bottle Space,"₹14,490","14,490","6,825 Ratings & 449 Reviews","6,825",�449 ,Fixed speed compressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor,23% off
Haier 205 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer  with DEFT TechnologyLarge St...,"₹17,490","17,490",306 Ratings & 15 Reviews,306,�15 ,Normal CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor,32% off
Godrej 272 L Frost Free Double Door 3 Star Convertible Refrigerator  with Freezer 95%+ Food Surface Di...,"₹26,990","26,990","4,672 Ratings & 336 Reviews","4,672",�336 ,Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,22% off
"SAMSUNG 322 L Frost Free Double Door 2 Star Convertible Refrigerator  with Digital Inverter, Convertib...","₹35,690","35,690","12,159 Ratings & 922 Reviews","12,159",�922 ,"Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand.",32% off
"SAMSUNG 653 L Frost Free Side by Side 3 Star Refrigerator  with AI and WiFi, Convertible 5-in-1, Digit...","₹79,990","79,990","1,851 Ratings & 120 Reviews","1,851",�120 ,"Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand.",29% off
"SAMSUNG 301 L Frost Free Double Door 3 Star Convertible Refrigerator  with Digital Inverter, Convertib...","₹34,990","34,990","12,159 Ratings & 922 Reviews","12,159",�922 ,"Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand.",36% off
Voltas Beko 183 L Direct Cool Single Door 3 Star Refrigerator,"₹12,890","12,890","1,604 Ratings & 94 Reviews","1,604",�94 ,Reciprocating CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,51% off
SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator  with Digital Inverter,"₹15,890","15,890","7,591 Ratings & 592 Reviews","7,591",�592 ,"Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand.",27% off
"SAMSUNG 385 L Frost Free Double Door 2 Star Convertible Refrigerator  with Digital Inverter, Convertib...","₹44,990","44,990",979 Ratings & 69 Reviews,979,�69 ,"Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand.",34% off
SAMSUNG 223 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer  with Digital Inverter,"₹19,190","19,190","13,536 Ratings & 1,366 Reviews","13,536","�1,366 ","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand.",26% off
Voltas Beko by A Tata Product 228 L Frost Free Double Door 3 Star Refrigerator,"₹21,990","21,990","1,664 Ratings & 135 Reviews","1,664",�135 ,Pro Smart Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,45% off
Haier 602 L Frost Free Side by Side Convertible Refrigerator  with 100% Convertible Fridge SpaceDigita...,"₹63,490","63,490","1,525 Ratings & 162 Reviews","1,525",�162 ,Inverter CompressorBuilt-in Stabilizer1 Year on Product and 10 Years on Compressor,41% off
Whirlpool 184 L Direct Cool Single Door 3 Star Refrigerator,"₹14,260","14,260",230 Ratings & 13 Reviews,230,�13 ,Normal CompressorBuilt-in Stabilizer1 Year on Product and 10 Years on Compressor from Whirlpool,17% off
Haier 190 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Large Storage Space1 Ho...,"₹16,990","16,990","13,149 Ratings & 1,071 Reviews","13,149","�1,071 ",Normal CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor,36% off
SAMSUNG 236 L Frost Free Double Door 3 Star Convertible Refrigerator  with Digital Inverter and Displa...,"₹26,490","26,490","16,916 Ratings & 1,235 Reviews","16,916","�1,235 ","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand.",35% off
"Godrej 180 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Faster Bottle Cooling,...","₹14,690","14,690","2,747 Ratings & 203 Reviews","2,747",�203 ,Fixed speed compressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,24% off
Whirlpool 192 L Direct Cool Single Door 5 Star Refrigerator,"₹17,990","17,990","1,209 Ratings & 91 Reviews","1,209",�91 ,InverterBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor,23% off
"Godrej 564 L Frost Free Side by Side Refrigerator  with Glass Door, Multi Air Flow Technology, And Cus...","₹59,990","59,990",787 Ratings & 63 Reviews,787,�63 ,Fixed Speed1 Year Warranty on Product and 10 Years on Compressor from Godrej,36% off
MarQ by Flipkart 183 L Direct Cool Single Door 2 Star Refrigerator,"₹11,490","11,490","3,561 Ratings & 385 Reviews","3,561",�385 ,Reciprocating CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor,42% off
BOSCH 187 L Direct Cool Single Door 4 Star Refrigerator,"₹17,990","17,990",69 Ratings & 8 Reviews,69,�8 ,Reciprocating CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,26% off
Haier 215 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Large Storage Space1 Ho...,"₹18,990","18,990","13,149 Ratings & 1,071 Reviews","13,149","�1,071 ",Normal CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor,29% off
LG 322 L Frost Free Double Door 2 Star Convertible Refrigerator,"₹33,990","33,990","3,409 Ratings & 388 Reviews","3,409",�388 ,Smart Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor from LG,26% off
Haier 190 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Large Storage Space1 Ho...,"₹15,890","15,890","13,965 Ratings & 1,120 Reviews","13,965","�1,120 ",Normal CompressorBuilt-in Stabilizer1 Year Warrannty on Product and 10 Years Warrannty on Compressor,39% off
Whirlpool 235 L Frost Free Triple Door Refrigerator,"₹26,290","26,290","36,926 Ratings & 4,083 Reviews","36,926","�4,083 ",Reciprocating CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and  9 Years Warranty on Compressor,26% off
"LG 185 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Smart Inverter Compressor,...","₹15,990","15,990","1,522 Ratings & 120 Reviews","1,522",�120 ,Smart Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years on Compressor from LG,27% off
Whirlpool 235 L Frost Free Triple Door Refrigerator,"₹26,290","26,290","36,926 Ratings & 4,083 Reviews","36,926","�4,083 ",Reciprocating CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and  9 Years Warranty on Compressor,26% off
"LG 655 L Frost Free Side by Side Refrigerator  with Smart Inverter Compressor, Express Freeze & Multi ...","₹72,990","72,990",460 Ratings & 35 Reviews,460,�35 ,Smart Inverter Compressor1 Year Warranty on Product and 10 Years Warranty on Compressor (T&C),33% off
Midea 591 L Frost Free Side by Side Refrigerator,"₹49,990","49,990","1,022 Ratings & 161 Reviews","1,022",�161 ,InverterBuilt-in Stabilizer1 Year on Product and 10 Years on Compressor,43% off
"IFB 206 L Direct Cool Single Door 4 Star Refrigerator  with Advanced Inverter Compressor, Premium Glas...","₹18,990","18,990",13 Ratings & 2 Reviews,13,�2 ,Reciprocating CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor,32% off
Godrej 180 L Direct Cool Single Door 5 Star Refrigerator  with Jumbo Vegetable Tray�With Faster Coolin...,"₹15,990","15,990","1,424 Ratings & 99 Reviews","1,424",�99 ,Fixed Speed CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,20% off
Voltas Beko by A Tata Product 228 L Frost Free Double Door 3 Star Refrigerator,"₹22,490","22,490","1,664 Ratings & 135 Reviews","1,664",�135 ,Pro Smart Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,43% off
Whirlpool 308 L Frost Free Double Door 3 Star Refrigerator,"₹32,490","32,490",86 Ratings & 4 Reviews,86,�4 ,"Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product, 9 Years Warranty on Compressor",29% off
Godrej 180 L Direct Cool Single Door 4 Star Refrigerator  with Large Vegetable Tray And 2.25 L Bottle ...,"₹14,490","14,490","6,825 Ratings & 449 Reviews","6,825",�449 ,Fixed speed compressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,23% off
Whirlpool 184 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Intellisense Invert...,"₹16,390","16,390",271 Ratings & 16 Reviews,271,�16 ,DC Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 9 Years Additional Warranty on Compressor,20% off
SAMSUNG 183 L Direct Cool Single Door 3 Star Refrigerator  with Digital Inverter,"₹15,490","15,490","13,275 Ratings & 1,113 Reviews","13,275","�1,113 ","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand.",22% off
Whirlpool 192 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹16,990","16,990","5,978 Ratings & 435 Reviews","5,978",�435 ,Reciprocatory CompressorBuilt-in Stabilizer1 Year on Product and 10 Years on the Compressor from Whirlpool,23% off
"SAMSUNG 301 L Frost Free Double Door 3 Star Convertible Refrigerator  with Digital Inverter, Convertib...","₹34,990","34,990","12,159 Ratings & 922 Reviews","12,159",�922 ,"Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand.",36% off
MarQ by Flipkart 208 L Direct Cool Single Door 2 Star Refrigerator,"₹13,490","13,490",140 Ratings & 18 Reviews,140,�18 ,Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor,43% off
BOSCH 303 L Frost Free Triple Door 3 Star Refrigerator,"₹36,890","36,890",N/A,#VALUE!,#VALUE!,Vario Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,36% off
Voltas Beko by A Tata Product 640 L Frost Free Side by Side Refrigerator,"₹57,990","57,990","1,405 Ratings & 117 Reviews","1,405",�117 ,Pro Smart Inverter CompressorBuilt-in Stabilizer2 Years Comprehensive Warranty on Product and 12 Years Warranty on Compressor,47% off
Godrej 237 L Direct Cool Double Door 3 Star Refrigerator  with Separate Veggie Drawer,"₹19,990","19,990","3,578 Ratings & 314 Reviews","3,578",�314 ,Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years on Compressor,13% off
"Godrej 180 L Direct Cool Single Door 5 Star Refrigerator  with Jumbo Vegetable Tray, Faster Cooling An...","₹15,690","15,690",168 Ratings & 12 Reviews,168,�12 ,Fixed Speed CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,17% off
"CANDY 175 L Direct Cool Single Door 2 Star Refrigerator  with Toughed glass Shelves ,Stabilizer Free O...","₹11,190","11,190","11,901 Ratings & 1,270 Reviews","11,901","�1,270 ",Reciprocatory CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years on Compressor,25% off
Admiral 165 L Direct Cool Single Door 2 Star Refrigerator,"₹10,290","10,290",119 Ratings & 8 Reviews,119,�8 ,Reciprocating CompressorBuilt-in Stabilizer3 Years on Product and 5 Years on Compressor Warranty,44% off
Haier 215 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer  with Large Storage Space1 Ho...,"₹17,490","17,490",306 Ratings & 15 Reviews,306,�15 ,Normal CompressorBuilt-in Stabilizer2 Years Warranty on Product and 10 Years Warranty on Compressor,27% off
SAMSUNG 223 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer  with Digital Inverter,"₹19,190","19,190","13,536 Ratings & 1,366 Reviews","13,536","�1,366 ","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand.",23% off
BOSCH 187 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹18,990","18,990",69 Ratings & 8 Reviews,69,�8 ,Reciprocating CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,25% off
"SAMSUNG 322 L Frost Free Double Door 3 Star Convertible Refrigerator  with Digital Inverter, Convertib...","₹37,490","37,490","12,159 Ratings & 922 Reviews","12,159",�922 ,"Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand.",34% off
"IFB 206 L Direct Cool Single Door 4 Star Refrigerator  with Powered by E-Tech, with Extraordinary Stor...","₹17,490","17,490",62 Ratings & 3 Reviews,62,�3 ,Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor,23% off
"Godrej 436 L Frost Free Double Door 2 Star Refrigerator  with AI Tech, Digital Inverter, And 95%+ Food...","₹42,990","42,990",935 Ratings & 107 Reviews,935,�107 ,"Inverter compressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product, 2 years extended warranty on Product and 10 Years Warranty on Compressor",36% off
SAMSUNG 183 L Direct Cool Single Door 5 Star Refrigerator  with Digital Inverter,"₹17,190","17,190",600 Ratings & 36 Reviews,600,�36 ,"Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand.",18% off
MarQ by Flipkart 183 L Direct Cool Single Door 2 Star Refrigerator,"₹11,490","11,490","3,561 Ratings & 385 Reviews","3,561",�385 ,Reciprocating CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor,42% off
Whirlpool 325 L Frost Free Double Door 3 Star Refrigerator,"₹33,290","33,290",905 Ratings & 60 Reviews,905,�60 ,Reciprocating CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor,33% off
"Godrej 180 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Faster Bottle Cooling,...","₹14,690","14,690","2,747 Ratings & 203 Reviews","2,747",�203 ,Fixed speed compressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,24% off
Haier 190 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Large Storage Space1 Ho...,"₹17,390","17,390","13,149 Ratings & 1,071 Reviews","13,149","�1,071 ",Normal CompressorBuilt-in Stabilizer2 Years Warranty on Product and 10 Years Warranty on Compressor,34% off
SAMSUNG 183 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer  with Digital Inverter,"₹16,290","16,290","11,876 Ratings & 1,042 Reviews","11,876","�1,042 ","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand.",22% off
SAMSUNG 223 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer  with Digital Inverter,"₹18,790","18,790","1,604 Ratings & 138 Reviews","1,604",�138 ,"Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand.",21% off
Whirlpool 184 L Direct Cool Single Door 4 Star Refrigerator,"₹15,640","15,640","16,660 Ratings & 1,051 Reviews","16,660","�1,051 ",Normal Compressor1 Year Warranty on Product and 9 Years Warranty on Compressor,20% off
Haier 190 L Direct Cool Single Door 4 Star Refrigerator  with Toughned Glass ShelfLarge Vegetable Box,"₹14,790","14,790","13,965 Ratings & 1,120 Reviews","13,965","�1,120 ",Normal CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor,29% off
Lloyd by Havells 310 L Frost Free Double Door 3 Star Refrigerator,"₹28,990","28,990",31 Ratings & 4 Reviews,31,�4 ,Fixed speedBuilt-in Stabilizer1 Year Domestic Warranty on Product and Additional 9 Years on Compressor,29% off
"IFB 206 L Direct Cool Single Door 5 Star Refrigerator  with Powered by E-Tech, with Extraordinary Stor...","₹17,490","17,490",247 Ratings & 24 Reviews,247,�24 ,Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor,31% off
Godrej 244 L Frost Free Double Door 3 Star Convertible Refrigerator  with Fully Convertible Refrigerat...,"₹24,990","24,990",478 Ratings & 48 Reviews,478,�48 ,Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,23% off
"SAMSUNG 215 L Direct Cool Single Door 4 Star Refrigerator  with Digital Inverter,Digi-Touch Cool 5-in-...","₹20,490","20,490","11,776 Ratings & 1,011 Reviews","11,776","�1,011 ","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand.",31% off
MarQ by Flipkart 183 L Direct Cool Single Door 2 Star Refrigerator,"₹10,990","10,990","3,561 Ratings & 385 Reviews","3,561",�385 ,Reciprocating CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor,42% off
"IFB 197 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Powered by E-Tech, with E...","₹17,490","17,490",444 Ratings & 41 Reviews,444,�41 ,Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Compressor Warranty,22% off
Godrej 234 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Energy Efficient Inver...,"₹18,990","18,990","3,578 Ratings & 314 Reviews","3,578",�314 ,Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,20% off
Haier 300 L Frost Free Double Door Bottom Mount 2 Star Refrigerator  with 1 hour Icing,"₹30,990","30,990",19 Ratings & 0 Reviews,19,�0 ,Inverter CompressorBuilt-in Stabilizer1 Year on Product & 10 Years on Compressor,35% off
"LG 185 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Smart Inverter Compressor,...","₹16,390","16,390","48,086 Ratings & 4,390 Reviews","48,086","�4,390 ",Smart Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor from LG,25% off
SAMSUNG 236 L Frost Free Double Door 2 Star Convertible Refrigerator  with Digital Inverter and Displa...,"₹25,390","25,390","16,916 Ratings & 1,235 Reviews","16,916","�1,235 ","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand.",29% off
