title,price,geyser_price,rating,geyser_rating,geyser_reviews,description,discount
"BAJAJ 15 L Storage Water Geyser (Bajaj Shield Series Popular Plus, White)","₹6,199","6,199","44,302 Ratings & 3,308 Reviews","44,302","�3,308 ",Storage Geyser15 LDomestic,47% off
"Crompton 25 L Storage Water Geyser (Arno Neo, White)","₹6,199","6,199","24,236 Ratings & 1,555 Reviews","24,236","�1,555 ","Storage Geyser25 LTank: 5 years, Heating Element: 2 years, Product: 2 years",38% off
"Hindware Smart Appliances 5.5 L Instant Water Geyser (Immedio X 5.5L, White & Blue)","₹2,999","2,999","72,040 Ratings & 8,437 Reviews","72,040","�8,437 ","Instant Geyser5.5 L2 Years Comprehensive Warranty on Product, 2 Years Warranty on Heating Element and 5 Years Warranty on Tank",62% off
"CSI INTERNATIONAL 1 L Instant Water Geyser (CSI round, Red)","₹1,099","1,099",18 Ratings & 1 Reviews,18,�1 ,Instant Geyser1 L1 year,45% off
"ACTIVA 25 L Storage Water Geyser (ACT_25_LTR, IVORY)","₹3,799","3,799","1,009 Ratings & 501 Reviews","1,009",�501 ,Storage Geyser25 L2 YEAR ON INNER TANK 1 YEAR ON COMPONENT WARRANTY.,49% off
"Orient Electric 15 L Storage Water Geyser (Cronos+, White)","₹4,699","4,699","20,802 Ratings & 1,502 Reviews","20,802","�1,502 ",Storage Geyser15 L2 Years Domestic Warranty on Product,57% off
"AO Smith 3 L Instant Water Geyser (ForceNXT 3L, White)","₹2,599","2,599","5,174 Ratings & 542 Reviews","5,174",�542 ,"Instant Geyser3 LComprehensive-2 Years, Heating Element-3 Years, Tank-5 Years",47% off
"Orient Electric 25 L Storage Water Geyser (Enamour Std/Enamour Plus, White, Grey, White, Grey)","₹7,985","7,985",778 Ratings & 88 Reviews,778,�88 ,"Storage Geyser25 L7 Years on Tank, 4 Years on Element, 2 Years on Product",24% off
"AO Smith 10 L Storage Water Geyser (VAS-NEO-010, White)","₹6,199","6,199","10,683 Ratings & 962 Reviews","10,683",�962 ,"Storage Geyser10 LComprehensive-2 Years, Tank-5 Years",42% off
"Kanishka 25 L Storage Water Geyser (Lotus, White, Grey)","₹3,599","3,599",20 Ratings & 1 Reviews,20,�1 ,Storage Geyser25 L1 Year Manufacture Warranty on Components and 5 Years Warranty on Inner Container.,60% off
"ACTIVA 1 L Instant Water Geyser (5 star Premium, White)","₹1,499","1,499",145 Ratings & 63 Reviews,145,�63 ,Instant Geyser1 L1 YEAR WARRANTY ON COMPONENTS AND 5 YEAR WARRANTY ON GEYSER INNER TANK,49% off
"Candes 15 L Storage Water Geyser (Perfecto, White Black)","₹4,079","4,079","19,847 Ratings & 2,646 Reviews","19,847","�2,646 ","Storage Geyser15 L5 Years Warranty on Inner Container & 1 Year Warranty on Components including On-Site & Off-Site, Domestic & International Warranty",49% off
"AO Smith 3 L Instant Water Geyser (EWS 3, White)","₹2,899","2,899","5,174 Ratings & 542 Reviews","5,174",�542 ,"Instant Geyser3 LTank-5 Years,Heating Element-3 Years,Product-2 Years",39% off
"RR 15 L Storage Water Geyser (Supremo+ 15L, White)","₹6,199","6,199",62 Ratings & 2 Reviews,62,�2 ,"Storage Geyser15 L2 Year on Product, 3 Year on Heating Element, 6 Year on Tank",57% off
"GRINISH 1 L Instant Water Geyser (1 Litre Storage Portable Instant Water Heater Geyser with MCB, White...","₹1,350","1,350",156 Ratings & 9 Reviews,156,�9 ,Instant Geyser1 L1 Year Manufacturer Warranty,66% off
"Mr.SHOT 1 L Instant Water Geyser (2.O Vikram Winner - Transparent Model, Purple)","₹2,649","2,649",20 Ratings & 1 Reviews,20,�1 ,Instant Geyser1 LOne Year Spare Replacement Warranty is available for this Model from the date of purchase If any Manufacturing defect.,44% off
"Longway 15 L Storage Water Geyser (Superb, Gray)","₹3,499","3,499","12,424 Ratings & 5,453 Reviews","12,424","�5,453 ",Storage Geyser15 L1 Year Limited Domestic Brand Warranty on Product & 5 Years on Inner Tank/Container.,54% off
"Kenstar 15 L Storage Water Geyser (Emeta, WHITE & BLACK)","₹5,099","5,099","4,252 Ratings & 378 Reviews","4,252",�378 ,"Storage Geyser15 L2 Years Comprehensive Warranty. 5 Years on Tank, 2 Years on Heating Element, 2 Years on Product",43% off
"Hindware Smart Appliances 3 L Instant Water Geyser (Immedio blue, White & Blue)","₹1,799","1,799","72,040 Ratings & 8,437 Reviews","72,040","�8,437 ","Instant Geyser3 L24 months overall warranty, 5 years on tank and 24 months on heating element",53% off
"V-Guard 6 L Storage Water Geyser (Matteo 3kW 6 Litre, 5 Star, White)","₹6,199","6,199","6,376 Ratings & 593 Reviews","6,376",�593 ,Storage Geyser6 LMatteo 3kW 6L  comes with a 2-year offsite domestic warranty for manufacturing defects.  The Heating Element has a warranty of 2 years & the Inner Tank has a warranty of 5 years. Please contact V-Guard Customer Care 1800 103 1300(Toll-free) for service-related issues.,38% off
"DIGISMART 35 L Storage Water Geyser (5 STAR, IVORY)","₹3,999","3,999",515 Ratings & 205 Reviews,515,�205 ,Storage Geyser35 L2 YEAR MANUFACTURER WARRANTY,49% off
"Mr.SHOT 1 L Instant Water Geyser (Essential, Red)","₹1,595","1,595",278 Ratings & 46 Reviews,278,�46 ,Instant Geyser1 LOne Year Spare Replacement Warranty is available for this Model from the date of purchase If any Manufacturing defect.fOR ANY QUERY YOU CAN connect with us on 9364153797,48% off
"Thomson 5 L Instant Water Geyser (Rapido, White)","₹2,599","2,599","2,944 Ratings & 309 Reviews","2,944",�309 ,Instant Geyser5 L2 Years Warranty,45% off
"Hindware Smart Appliances 10 L Storage Water Geyser (Immedio Neo, NA)","₹4,499","4,499","9,958 Ratings & 681 Reviews","9,958",�681 ,"Storage Geyser10 L2 Years Comprehensive, 2 Years on Heating Element, 5 Years on Tank",54% off
"BAJAJ 15 L Storage Water Geyser Suitable for large wall spaces (Popular Plus, White)","₹5,999","5,999","44,302 Ratings & 3,308 Reviews","44,302","�3,308 ","Storage Geyser15 LTank-5 Years,Heating Element-2 Years,Product-1 Years",32% off
"MinMAX 15 L Storage Water Geyser (VICTOR 5 Star 15 L, Beige)","₹3,356","3,356",5 Ratings & 2 Reviews,5,�2 ,Storage Geyser15 L60 months warranty on Inner Tank 12 Months warranty on Components  + 3Months extended warranty to get it registered you have register it with brand within 15 day (coustomer care +91 9625151748),58% off
"Kanishka 15 L Storage Water Geyser (LOTUS 5 Star, Grey, White)","₹3,499","3,499",488 Ratings & 73 Reviews,488,�73 ,Storage Geyser15 L1 Year Manufacture Warranty on Components and 5 Years Warranty on Inner Container.,53% off
"Crompton 25 L Storage Water Geyser (ASWH-4425 (AMICA CLASSIC ), White)","₹6,049","6,049",975 Ratings & 44 Reviews,975,�44 ,"Storage Geyser25 LTank 5 Years, Heating Element 2 Years, On Product 2 Years",42% off
"V-Guard 10 L Storage Water Geyser with Free Installation & Flexi Pipes (Victo DG 10L Litre, 5 Star, Wh...","₹7,149","7,149","2,223 Ratings & 281 Reviews","2,223",�281 ,"Storage Geyser10 L2 Year (Product), 3 Year (Heating Element) & 7 Year (Inner Tank)",31% off
"HAVELLS 6 L Gas Water Geyser (FLAGRO 5.5 LTR 1.2 kg LPG, White)","₹6,509","6,509",641 Ratings & 67 Reviews,641,�67 ,Gas Geyser6 L2 Year Comprehensive Warranty and 5 Year on Inner Container,32% off
"Crompton 3 L Instant Water Geyser (AIWH-3LRPIDJT3KW5Y Rapid Jet, White)","₹2,440","2,440","11,581 Ratings & 1,120 Reviews","11,581","�1,120 ","Instant Geyser3 LTank: 5 years, Heating Element: 2 years, Product: 2 years",44% off
"DIGISMART 3 L Instant Water Geyser (Instant 3 Kva Anti Rust Coating Tank Geyser with 5 Year Warranty, ...","₹1,699","1,699",227 Ratings & 85 Reviews,227,�85 ,Instant Geyser3 L1 year warranty,55% off
"Indo 6 L Storage Water Geyser (ELANZA, Grey)","₹3,949","3,949",N/A,#VALUE!,#VALUE!,"Storage Geyser6 L2 Years On product, 3 years on Heating Element and 5 Years Warranty on Inner Tank",50% off
"HAVELLS 3 L Instant Water Geyser Color Changing LED Indicator, Rust & Shook Proof (havells, White, Blu...","₹3,949","3,949","8,067 Ratings & 882 Reviews","8,067",�882 ,"Instant Geyser3 L5 Years Warranty on Inner Container, 2 Years Warranty on Heating Element, 2 Years Comprehensive Warranty",19% off
"ACTIVA 25 L Storage Water Geyser (AMAZON 5 STAR, IVORY)","₹3,799","3,799","3,608 Ratings & 1,546 Reviews","3,608","�1,546 ","Storage Geyser25 L5 Year Warranty On Inner Tank, 1 Year On Components",49% off
"BAJAJ 10 L Storage Water Geyser (Shield Series Popular Plus 10L, White & Grey)","₹5,799","5,799","44,302 Ratings & 3,308 Reviews","44,302","�3,308 ","Storage Geyser10 L10 years warranty on tank, 6 years warranty on element and 4 years warranty on product",46% off
"RR 5 L Instant Water Geyser (Supremo 5L, White)","₹2,699","2,699",20 Ratings & 0 Reviews,20,�0 ,"Instant Geyser5 L2 Year on Product, 2 Year on Heating Element, 5 Year on Tank",51% off
"Racold 25 L Storage Water Geyser with Flexi Pipe and Free Installation (OMNIS 25 DG 2KW B, White | Bla...","₹12,499","12,499",240 Ratings & 21 Reviews,240,�21 ,"Storage Geyser25 L2 Years on Product, 4 Years on Heating Element and 7 Years on Tank",41% off
"ACTIVA 50 L Storage Water Geyser (ACT_HL_50 LTR (IVORY), IVORY)","₹5,790","5,790","6,170 Ratings & 2,294 Reviews","6,170","�2,294 ","Storage Geyser50 L5 Year Warranty On Inner Tank, 1 Year On Components",38% off
"Kenstar 25 L Storage Water Geyser (Emeta, WHITE & BLACK)","₹5,299","5,299","4,252 Ratings & 378 Reviews","4,252",�378 ,"Storage Geyser25 L2 Years Comprehensive Warranty. 5 Years on Tank, 2 Years on Heating Element, 2 Years on Product",50% off
"GESTOR 10 L Storage Water Geyser (STORM, White, Blue)","₹2,999","2,999",146 Ratings & 53 Reviews,146,�53 ,Storage Geyser10 L1 Year Limited Domestic Brand Warranty on Product & 5 Years on Inner Tank/Container.,53% off
"Racold 10 L Storage Water Geyser with Flexi Pipe and Free Installation (4009018, White)","₹5,799","5,799",896 Ratings & 71 Reviews,896,�71 ,"Storage Geyser10 L2 Years on product, 2 Years on heating element and 5 Years on tank",44% off
"Racold 15 L Storage Water Geyser (Omnis Slim 15 Ltr With Free Installation & Pipes, Steel, Black)","₹10,590","10,590",194 Ratings & 11 Reviews,194,�11 ,Storage Geyser15 L2 years on product; 4 years on heating element and 7 years on tank,36% off
"HARMAN INDUSTRIES 1 L Instant Water Geyser (Electric Geyser, Yellow)","₹1,035","1,035","2,554 Ratings & 313 Reviews","2,554",�313 ,Instant Geyser1 LWarranty : 1 Year Limited Brand Domestic Warranty on Manufacturing Defects,61% off
"Sansui 15 L Storage Water Geyser with LED Light (AquaBoost-15L, White)","₹5,799","5,799",576 Ratings & 47 Reviews,576,�47 ,Storage Geyser15 L2 Years Warranty,60% off
"Thomson 3 L Instant Water Geyser (Rapido, White)","₹1,999","1,999","2,944 Ratings & 309 Reviews","2,944",�309 ,Instant Geyser3 L2 Years Warranty,45% off
HAVELLS 10 L Storage Water Geyser with Flexi Pipe and Free Installation (HAVELLS 10 L Storage Water Ge...,"₹6,499","6,499","19,316 Ratings & 1,952 Reviews","19,316","�1,952 ","Storage Geyser10 L2 Years Comprehensive Warranty on Product, 5 Years Warranty on Inner Container and 2 Years Warranty on Heating Element",54% off
"MinMAX 10 L Storage Water Geyser (Copper Flip 5 Star, Grey White)","₹3,149","3,149",6 Ratings & 4 Reviews,6,�4 ,Storage Geyser10 L60 months warranty on Inner Tank 12 Months warranty on Components  + 3Months extended warranty to get it registered you have register it with brand within 15 day (coustomer care +91 9625151748),52% off
"MinMAX 15 L Storage Water Geyser (VICTORY 2022 SERIES, IVORY)","₹3,499","3,499",7 Ratings & 3 Reviews,7,�3 ,Storage Geyser15 L1 YEAR COMPERHANSIVE WARRANTY ON GEYSER + 30 MONTHS INNER TANK WARRANTY,44% off
"BAJAJ 10 L Storage Water Geyser Suitable for large wall spaces (Popular Plus 10 L, White)","₹5,699","5,699","44,302 Ratings & 3,308 Reviews","44,302","�3,308 ","Storage Geyser10 LTank-5 Years,Heating Element-2 Years,Product-1 Years",40% off
"HAVELLS 25 L Storage Water Geyser with Flaxi Pipe and FreeInstallation (Electric Geyser, White)","₹15,200","15,200","2,803 Ratings & 355 Reviews","2,803",�355 ,"Storage Geyser25 L7 Years Warranty on Inner Container, 4 Years Warranty on Heating Element, 2 Years Comprehensive Warranty",40% off
"BAJAJ 10 L Storage Water Geyser (Shield Series Popular Plus 10L, White & Grey)","₹5,799","5,799","44,302 Ratings & 3,308 Reviews","44,302","�3,308 ","Storage Geyser10 L10 years warranty on tank, 6 years warranty on element and 4 years warranty on product",46% off
"BAJAJ 15 L Storage Water Geyser (Calenta Mechanical, White, Gold)","₹7,638","7,638",202 Ratings & 16 Reviews,202,�16 ,"Storage Geyser15 L10 Years on Tank, 4 Years on Heating Element, 2 Years on Product",49% off
"Crompton 10 L Storage Water Geyser (Regera 10 Ltr Glasslined With Free Installation & Pipes, Black, Wh...","₹6,449","6,449","13,062 Ratings & 1,414 Reviews","13,062","�1,414 ","Storage Geyser10 LTank: 7 years, Heating Element: 2 years, Product: 2 years",41% off
"Crompton 5 L Instant Water Geyser (Solarium Neo 5-L Instant Water Heater with Advanced 4 level Safety,...","₹3,999","3,999","32,320 Ratings & 2,487 Reviews","32,320","�2,487 ",Instant Geyser5 L2 years comprehensive warranty and 5 years on tank.,44% off
"USHA 25 L Storage Water Geyser (Aquerra DG, White, Grey)","₹11,849","11,849",244 Ratings & 27 Reviews,244,�27 ,"Storage Geyser25 L2 Years on Product, 3 Years on Heating Element and 8 Years on Tank",24% off
"Longway 35 L Storage Water Geyser (Superb, Gray)","₹4,199","4,199","12,424 Ratings & 5,453 Reviews","12,424","�5,453 ",Storage Geyser35 L1 Year Limited Domestic Brand Warranty on Product & 5 Years on Inner Tank/Container.,54% off
"BAJAJ 3 L Instant Water Geyser (Splendora 3L 3KW, White)","₹2,599","2,599","27,198 Ratings & 2,109 Reviews","27,198","�2,109 ",Instant Geyser3 L2 Year Manufacturer Warranty,55% off
"Jaquar 15 L Storage Water Geyser (ERICA DIGITAL 15 LTR Storage water heater, White, Blue)","₹14,999","14,999",4 Ratings & 0 Reviews,4,�0 ,"Storage Geyser15 L7 Years on Tank,4 Years on Heating Element and 2 Years on Other Parts",12% off
"Crompton 25 L Storage Water Geyser (Regera 25 L With Glasslined Technology & Free Installation, Black,...","₹7,349","7,349","13,062 Ratings & 1,414 Reviews","13,062","�1,414 ","Storage Geyser25 LTank: 7 years, Heating Element: 2 years, Product: 2 years",42% off
"Crompton 15 L Storage Water Geyser (Solarium Qube, White)","₹7,199","7,199",977 Ratings & 85 Reviews,977,�85 ,"Storage Geyser15 L7 years in tank, 2 years on element and 2 years on product.",42% off
Racold 25 L Storage Water Geyser with Flexi Pipe and Free Installation (Omnis Pro 25 Ltr With Free Ins...,"₹10,399","10,399",94 Ratings & 7 Reviews,94,�7 ,"Storage Geyser25 L2 Years on Product, 4 Years on Heating Element and 7 Years on Tank",48% off
"V-Guard 15 L Storage Water Geyser (Matteo 15, White)","₹6,399","6,399","14,013 Ratings & 1,315 Reviews","14,013","�1,315 ",Storage Geyser15 LMatteo 15 comes with a 2-year offsite domestic warranty for manufacturing defects.  The Heating Element has a warranty of 3 years & the Inner Tank has a warranty of 5 years. Please contact V-Guard Customer Care 1800 103 1300(Toll-free) for service-related issues.,24% off
"Candes 10 L Storage Water Geyser (Perfecto, White Black)","₹3,449","3,449","19,847 Ratings & 2,646 Reviews","19,847","�2,646 ","Storage Geyser10 L1 Year Warranty on Components & 4 Years Warranty on Inner Container  including On-Site & Off-Site, Domestic & International Warranty",47% off
"Crompton 15 L Storage Water Geyser (eo, White)","₹7,836","7,836",259 Ratings & 27 Reviews,259,�27 ,Storage Geyser15 Lna,28% off
"Eskon 10 L Storage Water Geyser (NEXA-10L, White)","₹3,299","3,299",N/A,#VALUE!,#VALUE!,Storage Geyser10 L12 MONTHS,67% off
"HAVELLS 25 L Storage Water Geyser (Monza, White)","₹7,999","7,999",40 Ratings & 1 Reviews,40,�1 ,Storage Geyser25 L7 year warranty on inner container ; 4 year warranty on heating element ; 2 year comprehensive Warranty,55% off
Hindware Smart Appliances 15 L Storage Water Geyser (Present instant compacto water heater 3 liter cap...,"₹5,099","5,099","1,754 Ratings & 250 Reviews","1,754",�250 ,"Storage Geyser15 L7 Years on Tank, 4 Years on Heating Element and 2 Years Comprehensive",53% off
"Hindware Smart Appliances 25 L Storage Water Geyser (Immedio Neo, N/A)","₹5,699","5,699","9,958 Ratings & 681 Reviews","9,958",�681 ,"Storage Geyser25 L2 Years Comprehensive, 2 Years on Heating Element, 5 Years on Tank",52% off
"Aulten 25 L Storage Water Geyser (25 L Storage Water Geyser, White)","₹5,199","5,199",N/A,#VALUE!,#VALUE!,"Storage Geyser25 L2 Year Replacement Warranty on Product, 2 Years Warranty on Heating Element, 5 Years Warranty on Tank",52% off
"Blowhot 6 L Gas Water Geyser (Auto CUT-OFF LPG Gas Water Heater Geyser Instant Warm Water Flow, ISI Ma...","₹5,990","5,990",513 Ratings & 59 Reviews,513,�59 ,Gas Geyser6 L1 Year General Warranty & 2 Years Warranty On Heat Exchanger.,25% off
Racold 10 L Storage Water Geyser with Flexi Pipe and Free Installation (ETERNO PRO 10V 2KW WH/ETERNO P...,"₹7,599","7,599","2,069 Ratings & 183 Reviews","2,069",�183 ,"Storage Geyser10 L2 Years on Product, 3 Years on Heating Element and 7 Years on Tank",37% off
"HAVELLS 15 L Storage Water Geyser (Monza, White)","₹6,999","6,999",40 Ratings & 1 Reviews,40,�1 ,"Storage Geyser15 L2 Years Comprehensive Warranty on Product, 5 Years Warranty on Inner Container and 2 Years Warranty on Heating Element",55% off
"CG 25 L Storage Water Geyser (CG Magnamix 25L, White)","₹6,099","6,099",316 Ratings & 38 Reviews,316,�38 ,Storage Geyser25 L5 Year Inner Tank Warranty 2 Year Product Warranty,51% off
"RR 25 L Storage Water Geyser (Supremo 25L, White)","₹5,599","5,599",40 Ratings & 2 Reviews,40,�2 ,"Storage Geyser25 L2 Year on Product, 3 Year on Heating Element, 5 Year on Tank",58% off
"Blowhot 15 L Storage Water Geyser (Anti Rust Glass Line Tank, Digital Display, Auto CUT-OFF 2000 Watt,...","₹7,490","7,490",150 Ratings & 26 Reviews,150,�26 ,"Storage Geyser15 L1 Year General Warranty (5 Years Storage Tank, 2 Years Heating Element, 1 Year Solenoid Valve)",34% off
"Crompton 25 L Storage Water Geyser (Solarium Care 25 L Glasslined With Customised Bath Modes, White, G...","₹9,849","9,849",26 Ratings & 1 Reviews,26,�1 ,"Storage Geyser25 L7 Years Inner Tank, 3 Years Element, 2 Years Product",33% off
"Crompton 5 L Instant Water Geyser (Rapid Jet 5 L, Heating Element, Advanced 4 Level Safety, Rust & Sho...","₹3,599","3,599",285 Ratings & 22 Reviews,285,�22 ,"Instant Geyser5 LTank: 5 years, Heating Element: 2 years, Product: 2 years",50% off
"Racold 15 L Storage Water Geyser with Flexi Pipe and Free Installation (OMNIS 15 PRO 2KW, White)","₹9,399","9,399",94 Ratings & 7 Reviews,94,�7 ,"Storage Geyser15 L2 Years on Product, 4 Years on Heating Element and 7 Years on Tank",46% off
"Crompton 3 L Instant Water Geyser (AIWH-3LJUNO3KW5Y, White)","₹2,399","2,399","32,320 Ratings & 2,487 Reviews","32,320","�2,487 ","Instant Geyser3 LTank: 5 years, Heating Element: 2 years, Product: 2 years",40% off
"Crompton 6 L Storage Water Geyser (Solarium Care 6 Ltr Glasslined With Free Installation & Pipes, Whit...","₹7,549","7,549","1,962 Ratings & 160 Reviews","1,962",�160 ,"Storage Geyser6 LTank: 7 years, Heating Element: 3 years, Product: 2 years",34% off
"Racold 6 L Instant Water Geyser (Altro i+DN 6ltr With Free Standard Installation & Pipes, White)","₹6,888","6,888",33 Ratings & 4 Reviews,33,�4 ,Instant Geyser6 L5 Years on Tank ; 2 Years on Product; 2 Years on Heating Element,39% off
"Crompton 15 L Storage Water Geyser (ASWH-4415 (AMICA CLASSIC ), White)","₹5,549","5,549",11 Ratings & 0 Reviews,11,�0 ,"Storage Geyser15 LTank 5 Years, Heating Element 2 Years, On Product 2 Years",42% off
"V-Guard 10 L Storage Water Geyser with Free Installation & Flexi Pipes (Pebble Shine 3kW 10 Litre, 5 S...","₹8,549","8,549","1,060 Ratings & 149 Reviews","1,060",�149 ,"Storage Geyser10 L2 Year on Product, 4 Year on Heating Element, 7 Year on Inner Tank",32% off
"Kenstar 25 L Storage Water Geyser (QUANTUM PRO 25 L With Color Changing Indicator & Pipe, White & Blue...","₹6,199","6,199","1,879 Ratings & 184 Reviews","1,879",�184 ,Storage Geyser25 L2 Year warranty on Product and 5 years warranty on Tank,67% off
"AO Smith 15 L Storage Water Geyser (SDS-Green-015, White)","₹9,199","9,199",204 Ratings & 7 Reviews,204,�7 ,"Storage Geyser15 LComprehensive-2 Years, Heating Element-2+2* Years, Tank-7 Years",35% off
"OMEGA'S 10 L Storage Water Geyser (SWH Magma-10L | Rust Proof Body | Thermal Cut Out, 4 Star, White)","₹3,999","3,999",N/A,#VALUE!,#VALUE!,Storage Geyser10 LProduct Warranty (In Years) - 2 . Tank Warranty (In Years) - 5 . Element Warranty (In Years) - 2,49% off
"Racold 10 L Storage Water Geyser (CDR Dlx Horizontal (Free Standard Installation and Pipes ), White)","₹8,090","8,090",32 Ratings & 0 Reviews,32,�0 ,Storage Geyser10 L5 YEARS INNER TANK  || 2 YEARS ELEMENT || 2 YEARS PRODUCT,17% off
"Kenstar 10 L Storage Water Geyser (QUANTUM PRO 10 L WITH COLOR CHANGING INDICATOR & PIPE, White & Blue...","₹5,099","5,099","1,879 Ratings & 184 Reviews","1,879",�184 ,Storage Geyser10 L2 Year warranty on Product and 5 years warranty on Tank,65% off
"Candes 3 L Storage Water Geyser (Insto, White)","₹2,539","2,539","15,021 Ratings & 2,337 Reviews","15,021","�2,337 ","Storage Geyser3 L5 Years Warranty on Inner Container & 1 Year Warranty on Components including On-Site & Off-Site, Domestic & International Warranty",39% off
"Crompton 15 L Storage Water Geyser (ARNO NEO ASWH-3015,, White)","₹5,699","5,699","9,483 Ratings & 972 Reviews","9,483",�972 ,Storage Geyser15 L2 years of manufacture warranty.,45% off
"OMEGA'S 15 L Storage Water Geyser (Magma 15L with Rust proof body and Thermal Cut Out, 4 star, White)","₹4,999","4,999",N/A,#VALUE!,#VALUE!,Storage Geyser15 LProduct Warranty (In Years) - 2 . Tank Warranty (In Years) - 5 . Element Warranty (In Years) - 2,49% off
"Racold 15 L Storage Water Geyser (OmnisR, Black)","₹9,750","9,750",126 Ratings & 14 Reviews,126,�14 ,"Storage Geyser15 L2 Years on Product, 4 Years on Heating Element and 7 Years on Tank",38% off
"Venus 15 L Storage Water Geyser (Megaplus 15EV, White)","₹6,053","6,053",213 Ratings & 8 Reviews,213,�8 ,"Storage Geyser15 LGuarantee - 5 Years on Inner Tank, 2 Years on Heating Element & 2 Years on Product",37% off
"RR 5 L Instant Water Geyser (Supremo 5L, White)","₹2,699","2,699",20 Ratings & 0 Reviews,20,�0 ,"Instant Geyser5 L2 Year on Product, 2 Year on Heating Element, 5 Year on Tank",51% off
"Polycab 25 L Storage Water Geyser (Celestia 5 Star | Glasslined Coated Tank | Free Installation, White...","₹6,699","6,699",31 Ratings & 14 Reviews,31,�14 ,Storage Geyser25 L2 Year Warranty,45% off
"HAVELLS 15 L Storage Water Geyser (ADONIA R, White)","₹14,260","14,260",426 Ratings & 47 Reviews,426,�47 ,"Storage Geyser15 L7 Years Warranty on Inner Container, 4 Years Warranty on Heating Element, 2 Years Comprehensive Warranty",32% off
"OMEGA'S 15 L Storage Water Geyser (SWH-15L with Rust proof body and Thermal Cut Out, 4 star, White)","₹4,999","4,999",N/A,#VALUE!,#VALUE!,Storage Geyser15 LProduct Warranty (In Years) - 2 . Tank Warranty (In Years) - 5 . Element Warranty (In Years) - 2,44% off
"Racold 10 L Storage Water Geyser (OMNIS LUX, black & white)","₹9,895","9,895",23 Ratings & 0 Reviews,23,�0 ,Storage Geyser10 L7 years inner tank || 4 years element || 2 years product,21% off
"HAVELLS 10 L Storage Water Geyser with Flexi Pipe and Free Installation (Monza EC, Ivory)","₹6,199","6,199","1,718 Ratings & 202 Reviews","1,718",�202 ,"Storage Geyser10 L5 year warranty on Inner Container, 2 year comprehensive Warranty",23% off
"V-Guard 15 L Storage Water Geyser with Free Installation & Flexi Pipes (Victo Plus DG 15 Litre, 5 Star...","₹8,299","8,299","1,220 Ratings & 167 Reviews","1,220",�167 ,"Storage Geyser15 L2 Year (Product), 3 Year (Heating Element) & 5 Year (Inner Tank)",38% off
"HAVELLS 15 L Storage Water Geyser with Flexi Pipe and Free Installation (Adonia Spin, White, Blue)","₹9,999","9,999","2,803 Ratings & 355 Reviews","2,803",�355 ,Storage Geyser15 L7 Year Warranty on Inner Container 4 Year Warranty on Heating Element 2 Year Comprehensive Warranty,51% off
"Racold 25 L Storage Water Geyser (Omnis DG 25 Ltr With Free Installation & Pipes, Standstorm)","₹12,549","12,549",843 Ratings & 117 Reviews,843,�117 ,"Storage Geyser25 L2 Years on Product, 4 Years on Heating Element and 7 Years on Tank",42% off
"Crompton 10 L Storage Water Geyser (Solarium CLX 10 Ltr Glasslined With Free Installation & Pipes, Whi...","₹7,249","7,249","13,062 Ratings & 1,414 Reviews","13,062","�1,414 ","Storage Geyser10 LTank: 5 years, Heating Element: 2 years, Product: 2 years",38% off
"Sansui 15 L Storage Water Geyser (AquaHot, White)","₹4,599","4,599",576 Ratings & 47 Reviews,576,�47 ,Storage Geyser15 L2 Years Warranty,48% off
"Polycab 10 L Storage Water Geyser (Superia 5 Star | Glasslined Coated Tank | Free Installation, Grey)","₹5,999","5,999",54 Ratings & 8 Reviews,54,�8 ,Storage Geyser10 L2 Year Warranty,49% off
"Haier 3 L Instant Water Geyser Fast Heating 8 Bar Pressure Glass Lined Tank (EI3V-C1(W)-P, White)","₹3,099","3,099",92 Ratings & 8 Reviews,92,�8 ,Instant Geyser3 L7 Years on Tank and 4 Years on heater,47% off
"RR 15 L Storage Water Geyser (Supremo+ 15L, White)","₹6,199","6,199",62 Ratings & 2 Reviews,62,�2 ,"Storage Geyser15 L2 Year on Product, 3 Year on Heating Element, 6 Year on Tank",57% off
"Aulten 25 L Storage Water Geyser ({Stellar Pro} with Advanced Multi-Layered Safety Features, Red)","₹5,300","5,300",4 Ratings & 0 Reviews,4,�0 ,"Storage Geyser25 L2 Years Replacement Warranty on Product, 2 Years Warranty on Heating Element, 2 Years Warranty on Tank",51% off
"OMEN 15 L Storage Water Geyser (Flamingo 15Ltr Storage Water Geyser, White)","₹7,287","7,287",N/A,#VALUE!,#VALUE!,Storage Geyser15 L2 year company warranty,30% off
"RR 10 L Storage Water Geyser (Supremo 10L, White)","₹4,199","4,199",40 Ratings & 2 Reviews,40,�2 ,"Storage Geyser10 L2 Year on Product, 3 Year on Heating Element, 5 Year on Tank",63% off
"Candes 25 L Storage Water Geyser (Perfecto, White Black)","₹4,499","4,499","19,847 Ratings & 2,646 Reviews","19,847","�2,646 ","Storage Geyser25 L1 Year Warranty on Components & 4 Years Warranty on Inner Container  including On-Site & Off-Site, Domestic & International Warranty",47% off
"Orient Electric 25 L Storage Water Geyser (Cronos Pro, White)","₹5,699","5,699","20,802 Ratings & 1,502 Reviews","20,802","�1,502 ",Storage Geyser25 L2 Years Domestic Warranty on Product,57% off
