title,price,geyser_price,rating,geyser_rating,geyser_reviews,description,discount
"THERMO KING 3 L Storage Water Geyser (TG3S, White)","₹2,399","2,399",7 Ratings & 1 Reviews,7,�1 ,Storage Geyser3 L1 year,35% off
"voltas 3 L Instant Water Geyser (Insta+ 3L, White)","₹2,889","2,889",418 Ratings & 8 Reviews,418,�8 ,"Instant Geyser3 L5 Years Warranty on Tank, 2 Years Warranty on Heating Element and 2 Years Warranty on Product",51% off
"Haier 15 L Storage Water Geyser (ES15V-S1W, White)","₹8,800","8,800",N/A,#VALUE!,#VALUE!,Storage Geyser15 L4 year on Product components & 7 Year on Tank,26% off
"HAVELLS 15 L Storage Water Geyser (Monza Slim_15_White, White)","₹9,930","9,930",76 Ratings & 8 Reviews,76,�8 ,"Storage Geyser15 L5 year warranty on Inner Container, 2 year comprehensive Warranty",12% off
"jade-x 1 L Instant Water Geyser (SBMCBG, WHITE AND BLUE)","₹1,097","1,097",567 Ratings & 45 Reviews,567,�45 ,Instant Geyser1 LCall 9925594079,60% off
"Sansui 25 L Storage Water Geyser (AquaZen-25L, White)","₹6,199","6,199",576 Ratings & 47 Reviews,576,�47 ,Storage Geyser25 L2 Years Warranty,52% off
"Crompton 15 L Storage Water Geyser (VERSA, White)","₹6,370","6,370",56 Ratings & 4 Reviews,56,�4 ,Storage Geyser15 L2 YEAR WARRANTY ON PRODUCT AND 5 YEARS ON TANK,42% off
"Venus 25 L Storage Water Geyser (Audra 25AV, Ivory)","₹7,714","7,714",481 Ratings & 43 Reviews,481,�43 ,"Storage Geyser25 LGuarantee -7 Years on Inner Tank, 3 Years on Heating Element & 2 Years on Product",32% off
"AO Smith 15 L Storage Water Geyser (Elegance Slim 15L, White)","₹9,990","9,990",8 Ratings & 0 Reviews,8,�0 ,"Storage Geyser15 L7 Years on tank, 2+2 Extender warranty on heating element, 2 Years on products",14% off
"DIGISMART 35 L Storage Water Geyser (5 STAR, IVORY)","₹3,999","3,999",515 Ratings & 205 Reviews,515,�205 ,Storage Geyser35 L2 YEAR MANUFACTURER WARRANTY,49% off
"Jaquar 15 L Storage Water Geyser (Elena Manual 15 Liters, White, Blue)","₹10,191","10,191",152 Ratings & 7 Reviews,152,�7 ,"Storage Geyser15 L7yrs on Tank,4yrs on heating Comp, 2yrs on others",8% off
"HAVELLS 15 L Storage Water Geyser (Adoina R with Remote, 2000 Watts, White)","₹14,260","14,260",505 Ratings & 60 Reviews,505,�60 ,"Storage Geyser15 L7 Years Warranty on Inner Container, 4 Years Warranty on Heating Element, 2 Years Comprehensive Warranty",30% off
"Orient Electric 15 L Instant Water Geyser (New Glazio 15L, White)","₹8,549","8,549",35 Ratings & 0 Reviews,35,�0 ,"Instant Geyser15 L5 Years Warranty on Tank, 2 Years on Product",38% off
"HAVELLS 10 L Storage Water Geyser with Flaxi Pipe and FreeInstallation (Electric Geyser, White)","₹12,380","12,380","2,803 Ratings & 355 Reviews","2,803",�355 ,"Storage Geyser10 L7 Years Warranty on Inner Container, 4 Years Warranty on Heating Element, 2 Years Comprehensive Warranty",29% off
"FABER 15 L Storage Water Geyser (Cryus, Black Cherry)","₹8,790","8,790",N/A,#VALUE!,#VALUE!,Storage Geyser15 LManufacturing Defects,26% off
"HAVELLS 15 L Storage Water Geyser (Adonia I, White)","₹14,730","14,730",3 Ratings & 2 Reviews,3,�2 ,"Storage Geyser15 L2 Years Comprehensive Warranty, 4 Years Warranty on Heating Element and 7 Years Warranty on Inner Container",45% off
Racold 15 L Storage Water Geyser (Omnis R 2kW With Children Care Mode & with Free Standard Installatio...,"₹9,685","9,685",5 Ratings & 1 Reviews,5,�1 ,"Storage Geyser15 L2 Years on Product, 4 Years on Heating Element and 7 Years on Tank",45% off
"ACTIVA 15 L Storage Water Geyser (EXECUTIVE 5 STAR, White)","₹4,299","4,299",93 Ratings & 38 Reviews,93,�38 ,"Storage Geyser15 L5 Year Warranty On Inner Tank, 1 Year On Components",28% off
"V-Guard 25 L Storage Water Geyser (Iris Pro 25 L, White, Black)","₹8,699","8,699","1,220 Ratings & 167 Reviews","1,220",�167 ,"Storage Geyser25 L2 Year on Product, 3 Year on Heating Element, 7 Year on Inner Tank",50% off
"Kanishka 10 L Storage Water Geyser (Lotus_Electric_Storage_Geyser_10_Liters, White, Grey)","₹2,999","2,999",8 Ratings & 1 Reviews,8,�1 ,Storage Geyser10 L1 Year Manufacture Warranty on Components and 5 Years Warranty on Inner Container.,62% off
"SKENTERPRISES 10 L Instant Water Geyser (Hot & cool water connection pipe stainless steel 24"", silver ...",₹225,225,N/A,#VALUE!,#VALUE!,Instant Geyser10 L0,54% off
"Candes 15 L Storage Water Geyser (15METAL, Ivory)","₹4,609","4,609","15,021 Ratings & 2,337 Reviews","15,021","�2,337 ","Storage Geyser15 L5 Years Warranty on Inner Container & 1 Year Warranty on Components including On-Site & Off-Site, Domestic & International Warranty",41% off
"Racold 3 L Instant Water Geyser (Neo, White)","₹3,099","3,099",133 Ratings & 12 Reviews,133,�12 ,Instant Geyser3 L2 Years Product & 5 Years Tank Warranty,35% off
"Crompton 10 L Storage Water Geyser (Arno Supremus, Ivory)","₹5,700","5,700",154 Ratings & 11 Reviews,154,�11 ,"Storage Geyser10 LTank 5 Years, Heating Element 2 Years, On Product 2 Years",40% off
"THERMO KING 15 L Storage Water Geyser (15 LTR A BS IVORY, IVORY)","₹3,449","3,449",11 Ratings & 0 Reviews,11,�0 ,Storage Geyser15 L2,65% off
"Racold 25 L Storage Water Geyser (CDR DLX Vertical Water Heater (25 Liter), White)","₹8,798","8,798",6 Ratings & 0 Reviews,6,�0 ,Storage Geyser25 L2 Years Heating Element and 7 Years Inner Tank,20% off
"Crompton 5 L Instant Water Geyser (RAPID JET, White)","₹3,909","3,909",10 Ratings & 0 Reviews,10,�0 ,Instant Geyser5 L2 YEAR WARRANTY FROM THE DATE OF PURCHASE,46% off
"ACTIVA 10 L Instant Water Geyser (Executive, Ivory, Maroon)","₹3,299","3,299",966 Ratings & 357 Reviews,966,�357 ,Instant Geyser10 LManufacturer Warranty,39% off
