title,price,wm_price,rating,wm_ratings,wm_reviews,description,discount
Haier 6.5 kg 5 Star Oceanus Wave Drum Washing Machine Fully Automatic Top Load Grey,"₹15,356","15,356",438 Ratings & 39 Reviews,438,�39 ,800 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from Haier,31% off
"Lloyd 7.5 kg Semi Automatic Top Load Washing Machine Black, Red","₹13,990","13,990",3 Ratings & 0 Reviews,3,�0 ,600 RPM Max Speed5 Star Rating1 year warranty,17% off
Godrej 6.5 kg Fully Automatic Top Load Washing Machine Blue,"₹18,990","18,990",159 Ratings & 19 Reviews,159,�19 ,700 rpm Max Speed2 Years Comprehensive Warranty and 10 Years Warranty on Motor from Godrej,17% off
"SAMSUNG 8 kg 5 Star Hexa Storm Pulsator Semi Automatic Top Load Washing Machine White, Grey","₹16,300","16,300",514 Ratings & 47 Reviews,514,�47 ,"1350 rpm Max Speed5 Star Rating2 years on product, 2 years on motor (T&C Apply)",1% off
Lloyd by Havells 7.5 kg Semi Automatic Top Load Washing Machine Grey,"₹12,999","12,999",3 Ratings & 0 Reviews,3,�0 ,"1300 rpm Max Speed5 Star Rating2 Years Warranty on Product, 5 Years Warranty on Motor",37% off
"Haier 7 kg Fully Automatic Top Load Washing Machine Grey, Black","₹16,720","16,720",16 Ratings & 4 Reviews,16,�4 ,"800 RPM Max Speed5 Star Rating2 years on product, 10 years on motor",37% off
Panasonic 10.5 kg Fully Automatic Top Load Washing Machine Silver,"₹30,494","30,494",4 Ratings & 0 Reviews,4,�0 ,"800 RPM Max Speed5 Star Rating2 YEAR WARRANTY   , 8 YEAR MOTOR",19% off
ONIDA 6.5 kg with Hydraulic Soft Close Glass Lid Fully Automatic Top Load Washing Machine Grey,"₹14,290","14,290",327 Ratings & 36 Reviews,327,�36 ,700 rpm Max Speed2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor by Onida,31% off
"LG 7.5 kg Semi Automatic Top Load Washing Machine Grey, White","₹13,490","13,490",27 Ratings & 0 Reviews,27,�0 ,1300 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty on product and 5 Years on Wash Motor from LG,32% off
"SAMSUNG 8.5 kg Semi Automatic Top Load Washing Machine Black, Grey","₹14,090","14,090","35,286 Ratings & 2,498 Reviews","35,286","�2,498 ","1300 rpm Max Speed5 Star Rating2 years on product, 2 years on motor (T&C Apply)",19% off
Godrej 7 kg Fully Automatic Top Load Washing Machine with In-built Heater Grey,"₹20,990","20,990",192 Ratings & 12 Reviews,192,�12 ,665 rpm Max Speed5 Star RatingWith In-Built Heater2 Years on Product and 10 Years on Motor From Godrej,24% off
Voltas Beko by A Tata Product 8 kg Semi Automatic Top Load Washing Machine with In-built Heater White,"₹13,140","13,140",11 Ratings & 1 Reviews,11,�1 ,1350 RPM Max Speed5 Star Rating2 years comprehensive + additional 3 years on wash and spin motor,34% off
Whirlpool 7 kg Fully Automatic Top Load Washing Machine Maroon,"₹16,760","16,760",N/A,#VALUE!,#VALUE!,740 RPM Max Speed5 Star Rating.,17% off
Whirlpool 7 kg Semi Automatic Top Load Washing Machine with In-built Heater Red,"₹11,185","11,185",20 Ratings & 2 Reviews,20,�2 ,1350 RPM Max Speed5 Star Rating2 years comprehensive + additional 3 years on wash and spin motor,20% off
Godrej 7 kg Fully Automatic Top Load Washing Machine Grey,"₹19,754","19,754",159 Ratings & 19 Reviews,159,�19 ,700 rpm Max Speed2 Years Comprehensive Warranty and 10 Years Warranty on Motor from Godrej,18% off
Voltas Beko by A Tata Product 6.5 kg Fully Automatic Top Load Washing Machine Grey,"₹16,400","16,400",31 Ratings & 3 Reviews,31,�3 ,700 rpm Max Speed5 Star Rating3 Years Comprehensive and Additional 9 Years On Motor from Voltas Beko,33% off
LG 6.5 kg Fully Automatic Top Load Washing Machine Silver,"₹21,990","21,990",120 Ratings & 4 Reviews,120,�4 ,700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 10 Years Warranty on Motor from LG,N/A
BOSCH 9 kg 1400RPM Fully Automatic Front Load Washing Machine with In-built Heater Silver,"₹47,780","47,780",5 Ratings & 1 Reviews,5,�1 ,"1400 RPM Max Speed5 Star RatingWith In-Built Heater2 years on product, 12 years on motor",32% off
