title,price,wm_price,rating,wm_ratings,wm_reviews,description,discount
"realme TechLife 7 kg 5 Star rating Semi Automatic Top Load Washing Machine White, Black","₹7,490","7,490","63,723 Ratings & 6,055 Reviews","63,723","�6,055 ",1400 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor,40% off
"MarQ by Flipkart 6 kg 5 Star Rating Innowash Range Semi Automatic Top Load Washing Machine White, Maro...","₹6,790","6,790","20,474 Ratings & 1,962 Reviews","20,474","�1,962 ",1350 rpm Max Speed5 Star Rating2 Years Warranty on Product and 5 Years Warranty on Motor,43% off
realme TechLife 8 kg 5 Star Rating Fabric Safe Wash Fully Automatic Top Load Washing Machine Grey,"₹12,790","12,790","1,091 Ratings & 97 Reviews","1,091",�97 ,700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor,46% off
Voltas Beko by A Tata Product 12 kg A Tata Product Anti-allergen Hygiene Boost Washing Machine with Fa...,"₹14,990","14,990","6,464 Ratings & 444 Reviews","6,464",�444 ,"1350 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product, 5 Years Spin Motor Warranty and 10 Years Motor Warranty",28% off
"BOSCH 7 kg Fully Automatic Front Load Washing Machine Black, Grey","₹30,990","30,990","1,087 Ratings & 71 Reviews","1,087",�71 ,1200 RPM Max Speed5 Star Rating2 Years Warranty on Product and 12 Years Warranty on Wash Motor,39% off
"SAMSUNG 9.5 kg 5 star,Air Turbo Drying Semi Automatic Top Load Washing Machine Black, Grey","₹16,090","16,090","35,286 Ratings & 2,498 Reviews","35,286","�2,498 ","1300 rpm Max Speed5 Star Rating2 years on product, 2 years on motor (T&C Apply)",21% off
Whirlpool 7.5 kg Magic Clean 5 Star Fully Automatic Top Load Washing Machine Grey,"₹15,990","15,990","20,513 Ratings & 1,437 Reviews","20,513","�1,437 ",740 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Additional Warranty on Motor,24% off
"Whirlpool 7 kg Steam Technology 5 Star Inverter 100+ Tough Stains, 6th Sense Soft Move Fully Automatic...","₹26,990","26,990",283 Ratings & 20 Reviews,283,�20 ,1000 RPM Max Speed5 Star RatingWith In-Built Heater2 Years Warranty on Product and 8 Years Warranty on Motor,23% off
"LG 8 kg with Wi-Fi Enabled,Steam Fully Automatic Front Load Washing Machine with In-built Heater Grey,...","₹35,990","35,990","21,310 Ratings & 1,704 Reviews","21,310","�1,704 ",1200 rpm Max Speed5 Star RatingWith In-Built HeaterWith Wi-Fi Connectivity2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor,28% off
ONIDA 7.5 kg 5 Star Dual Action Pulsator Quadra Scrub Fully Automatic Top Load Washing Machine Black,"₹12,890","12,890","40,389 Ratings & 4,571 Reviews","40,389","�4,571 ",750 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor from Onida,44% off
"Whirlpool 11 kg 5 Star with Auto Restart, End of Cycle Buzzer and Faster Drying Semi Automatic Top Loa...","₹16,990","16,990","18,858 Ratings & 1,340 Reviews","18,858","�1,340 ","1400 RPM Max Speed5 Star Rating4 Years Warranty on Product, 10 Years Warranty on Wash Motor and 5 Years Warranty on Spin Motor",22% off
BOSCH 8 kg Fully Automatic Front Load Washing Machine with In-built Heater Black,"₹34,900","34,900","1,087 Ratings & 71 Reviews","1,087",�71 ,1400 rpm Max Speed5 Star RatingWith In-Built Heater2 Years Comprehensive Warranty on Product and 10 Year Warranty on Motor,34% off
Thomson 10 kg 5 Star Aqua Magic Grande Series with Floral Toughened Glass with Soft Closure and Double...,"₹10,999","10,999","12,988 Ratings & 1,149 Reviews","12,988","�1,149 ",1400 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor,26% off
MOTOROLA 7 kg 5 star rating Midnight Series Semi Automatic Top Load Washing Machine Black,"₹8,390","8,390","3,756 Ratings & 292 Reviews","3,756",�292 ,"1350 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product, 5 Years Warranty on Wash Motor",40% off
"Whirlpool 9 kg 5 Star with Auto Restart, End of Cycle Buzzer, Lint Filter and Collar Scrubber Semi Aut...","₹13,990","13,990","18,858 Ratings & 1,340 Reviews","18,858","�1,340 ",1400 rpm Max Speed5 Star Rating4 Years Comprehensive warranty on Product 10 Years on wash motor 4 Years on Spin motor,25% off
"Haier 9 kg AI with Direct Drive Technology,Puristeam and Refresh Function, Anti Bacterial Technology, ...","₹35,990","35,990",787 Ratings & 97 Reviews,787,�97 ,1400 rpm Max Speed5 Star Rating5 Year Comprehensive Warranty on Product and 20 Years Warranty on Motor.,28% off
Voltas Beko by A Tata Product 6.5 kg 5 Star Eco-Series Fully Automatic Top Load Washing Machine Grey,"₹12,390","12,390",606 Ratings & 36 Reviews,606,�36 ,700 rpm Max Speed5 Star Rating1 Year Comprehensive Warranty on Product and 8 Years Warranty on Motor,48% off
"Voltas Beko 10 kg Fully Automatic Top Load Washing Machine with In-built Heater Black, Grey","₹19,990","19,990",453 Ratings & 27 Reviews,453,�27 ,700 rpm Max Speed5 Star RatingWith In-Built Heater1 Year Comprehensive Warranty on Product and 5 Years Motor Warranty,56% off
"Voltas Beko by A Tata Product 10 kg Semi Automatic Top Load Washing Machine Blue, White","₹13,490","13,490","6,464 Ratings & 444 Reviews","6,464",�444 ,"1350 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product, 5 Years Warranty on Spin Motor and 10 Years Warranty on Wash Motor",34% off
Thomson 8.5 kg 5 Star Aqua Magic Semi Automatic Top Load Washing Machine Black,"₹8,790","8,790","12,988 Ratings & 1,149 Reviews","12,988","�1,149 ",1400 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor,29% off
"Panasonic 6.5 kg Semi Automatic Top Load Washing Machine Blue, White","₹7,990","7,990","5,526 Ratings & 491 Reviews","5,526",�491 ,1350 rpm Max Speed5 Star Rating2 Years Warranty on Product and 5 Years Warranty on Motor,38% off
"Lloyd by Havells 9 kg Toughened Glass Soft Closing Glass Lids, 1300 RPM, Soak Function, 5 Wash Program...","₹11,990","11,990","2,105 Ratings & 163 Reviews","2,105",�163 ,1300 rpm Max Speed5 Star Rating2 Years Comprehensive on Washing Machine and 5 Years on Motor from Llyod,41% off
Thomson 9 kg 5 Star Aqua Magic Double Waterfall Semi Automatic Top Load Washing Machine Black,"₹9,290","9,290","12,988 Ratings & 1,149 Reviews","12,988","�1,149 ",1400 RPM Max Speed2 Years Warranty on Product and 5 Years Warranty on Motor,28% off
"Haier 8 kg AI with Inverter Motor,Puristeam and Refresh Function, Anti Bacterial Technology, Super Dru...","₹32,990","32,990",787 Ratings & 97 Reviews,787,�97 ,1200 rpm Max Speed5 Star Rating5 Years Comprehensive Warranty on Product and 12 Years Warranty on Motor,29% off
"Whirlpool 8.5 kg 5 Star with Auto Restart, End of Cycle Buzzer, Lint Filter and Collar Scrubber Semi A...","₹12,990","12,990","18,858 Ratings & 1,340 Reviews","18,858","�1,340 ",1400 rpm Max Speed5 Star Rating4 Years Comprehensive warranty on Product 10 Years on wash motor 4 Years on Spin motor,25% off
"Haier 8 kg AI with Inverter Motor,Puristeam and Refresh Function, Anti Bacterial Technology, Super Dru...","₹32,990","32,990",787 Ratings & 97 Reviews,787,�97 ,1200 rpm Max Speed5 Star Rating5 Years Comprehensive Warranty on Product and 12 Years Warranty on Motor,29% off
"Voltas Beko 7.5 kg Semi Automatic Top Load Washing Machine Grey, White","₹9,290","9,290","6,464 Ratings & 444 Reviews","6,464",�444 ,1350 rpm Max Speed5 Star Rating1 Year Warranty on Product and 5 Years Warranty on Motor,48% off
SAMSUNG 9 kg Fully Automatic Front Load Washing Machine Black,"₹38,990","38,990","13,226 Ratings & 1,011 Reviews","13,226","�1,011 ","1400 rpm Max Speed5 Star Rating2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor",28% off
"LG 10 kg 5 Star Semi Automatic Top Load Washing Machine Grey, White","₹17,490","17,490","4,729 Ratings & 323 Reviews","4,729",�323 ,1300 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor,22% off
Voltas Beko by A Tata Product 7 kg Semi Automatic Top Load Washing Machine White,"₹8,287","8,287","1,675 Ratings & 125 Reviews","1,675",�125 ,1350 RPM Max Speed5 Star Rating2 Years Comprehensive,32% off
"Voltas Beko by A Tata Product 7 kg Semi Automatic Top Load Washing Machine White, Maroon","₹8,347","8,347","1,675 Ratings & 125 Reviews","1,675",�125 ,1350 RPM Max Speed5 Star Rating2 year comprehensive,31% off
Voltas Beko by A Tata Product 7 kg Semi Automatic Top Load Washing Machine White,"₹8,447","8,447","1,675 Ratings & 125 Reviews","1,675",�125 ,"1350 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty on Product, 5 Years Spin Motor Warranty and 10 Years Motor Warranty",34% off
"Whirlpool 8 kg Steam Technology 5 Star Inverter 100+ Tough Stains, 6th Sense Soft Move Fully Automatic...","₹31,990","31,990",366 Ratings & 35 Reviews,366,�35 ,1400 RPM Max Speed5 Star RatingWith In-Built Heater2 Years Warranty on Product and 8 Years Warranty on Motor,19% off
"Haier 8 kg Anti Bacterial Vortex Pulsator, 1300 RPM, Softfall Technology, Spray Function, Wash Program...","₹10,290","10,290","1,864 Ratings & 99 Reviews","1,864",�99 ,1300 rpm Max Speed5 Star Rating2 Years Warranty on Product and 5 Years Warranty on Motor,45% off
"Voltas Beko by A Tata Product 7 kg Semi Automatic Top Load Washing Machine Maroon, White","₹8,850","8,850","1,675 Ratings & 125 Reviews","1,675",�125 ,1350 RPM Max Speed5 Star Rating2 YEARS COMPREHENSIVE WARRENTY AND ADDITIONAL 3 YEARS WARRENTY ON BOTH MOTORS.,31% off
"MarQ by Flipkart 7 kg 5 Star Rating Innowash Range Semi Automatic Top Load Washing Machine Blue, White","₹7,290","7,290","50,157 Ratings & 5,142 Reviews","50,157","�5,142 ",1350 rpm Max Speed5 Star Rating2 Years Warranty on Product and 5 Years Warranty on Motor,47% off
"Godrej 7.5 kg 5 Star, Zero Pressure Technology With Stainless Steel Gravity Drum Fully Automatic Top L...","₹15,490","15,490","5,089 Ratings & 351 Reviews","5,089",�351 ,670 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor,44% off
Panasonic 6 kg 4 Star 8 Wash Program AquaBeat Wash Fully Automatic Top Load Washing Machine Grey,"₹12,490","12,490","11,376 Ratings & 1,138 Reviews","11,376","�1,138 ",680 rpm Max Speed4 Star Rating2 Year  Comprehensive Warranty and 10 Years on Motor from Panasonic,25% off
"ONIDA 9 kg Washer only White, Maroon","₹6,490","6,490","27,686 Ratings & 3,033 Reviews","27,686","�3,033 ","780 rpm Max Speed1 Year Comprehensive Warranty on Product, 7 Years Warranty on Motor",7% off
"IFB 7 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, Powered by AI with Wifi Fully ...","₹29,990","29,990","81,727 Ratings & 8,238 Reviews","81,727","�8,238 ","1200 RPM Max Speed5 Star RatingWith In-Built HeaterWith Wi-Fi Connectivity4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support",19% off
"Haier 11 kg Toughened Glass with Digital Kingfisher Print, Anti Bacterial Vortex Pulsator, 1300 RPM, S...","₹16,490","16,490","1,864 Ratings & 99 Reviews","1,864",�99 ,1300 RPM Max Speed5 Star Rating3 Years Warranty on Product and 5 Years Warranty on Motor,32% off
SAMSUNG 9 kg with Wi-Fi Enabled Fully Automatic Top Load Washing Machine with In-built Heater Grey,"₹27,500","27,500","67,492 Ratings & 4,973 Reviews","67,492","�4,973 ","700 rpm Max Speed5 Star RatingWith In-Built Heater2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor",17% off
"IFB 7 kg Powered by AI, 5 Star, 4 years Comprehensive Warranty with 2x Steam Cycle Fully Automatic Fro...","₹26,990","26,990","81,727 Ratings & 8,238 Reviews","81,727","�8,238 ","1000 rpm Max Speed5 Star RatingWith In-Built Heater4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor and 10 Years Spares Support",27% off
MOTOROLA 7 kg 5 star rating Midnight Series Semi Automatic Top Load Washing Machine Black,"₹8,390","8,390","3,756 Ratings & 292 Reviews","3,756",�292 ,"1350 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product, 5 Years Warranty on Wash Motor",40% off
"LG 8 kg 5 Star with Roller Jet Pulsator with Soak, Wind Jet Dry and Rat Away, 6 Kg (Spin Tub Capacity)...","₹15,590","15,590",97 Ratings & 5 Reviews,97,�5 ,800 RPM Max Speed5 Star Rating2 Years Warranty on Complete Washing Machine and 5 Years on Motor from LG,10% off
ONIDA 8 kg 5 Star With Sensomatic Wash Technology Fully Automatic Top Load Washing Machine Grey,"₹16,990","16,990","40,389 Ratings & 4,571 Reviews","40,389","�4,571 ",700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Wash Motor from Onida,37% off
"LG 7 kg 5 Star with Smart Inverter Technology, TurboDrum and Smart Diagnosis Fully Automatic Top Load ...","₹17,490","17,490","64,458 Ratings & 4,827 Reviews","64,458","�4,827 ",700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 10 Years Warranty on Motor from LG,16% off
ONIDA 9 kg Washer only Black,"₹6,599","6,599","27,686 Ratings & 3,033 Reviews","27,686","�3,033 ","780 RPM Max Speed1 Star Rating1 Year Comprehensive Warranty on Product, 7 Years Warranty on Motor",8% off
Whirlpool 11 kg 5 Star With Faster Drying Semi Automatic Top Load Washing Machine Grey,"₹15,990","15,990","1,080 Ratings & 82 Reviews","1,080",�82 ,"1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product, 10 Years Warranty on Wash Motor and 5 Years Warranty on Spin Motor",26% off
"IFB 10 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, with AI Fully Automatic Front...","₹48,190","48,190","81,727 Ratings & 8,238 Reviews","81,727","�8,238 ","1400 RPM Max Speed5 Star RatingWith In-Built HeaterWith Wi-Fi Connectivity4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support",23% off
"Lloyd by Havells 7.5 kg 1300 RPM, Soak Function, 3 Wash Programs, Swift Dry, Magic Filter Semi Automat...","₹9,990","9,990","2,105 Ratings & 163 Reviews","2,105",�163 ,1300 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor,43% off
"LG 8 kg 5 Star with Steam, Inverter Direct Drive, 6 Motion Direct Drive, Touch Panel and 1400 RPM Full...","₹34,990","34,990","21,310 Ratings & 1,704 Reviews","21,310","�1,704 ",1400 rpm Max Speed5 Star RatingWith In-Built Heater2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor T&C,28% off
"Thomson 7 kg Washer only Red, White","₹4,990","4,990","1,781 Ratings & 197 Reviews","1,781",�197 ,780 rpm Max Speed1 Years Comprehensive Warranty on Product and 5 Years on Wash Motor,37% off
"Midea 6.5 kg Semi Automatic Top Load Washing Machine Maroon, White","₹6,990","6,990",18 Ratings & 4 Reviews,18,�4 ,1300 RPM Max Speed5 Star Rating2 Years Warranty on Product 5 Years Warranty on Wash Motor,30% off
Thomson 8 kg 5 Star Aqua Magic Semi Automatic Top Load Washing Machine Black,"₹8,499","8,499","12,988 Ratings & 1,149 Reviews","12,988","�1,149 ",1400 RPM Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor,26% off
SAMSUNG 8 kg with Wi-Fi Enabled Fully Automatic Top Load Washing Machine Grey,"₹26,000","26,000",177 Ratings & 11 Reviews,177,�11 ,"700 rpm Max Speed5 Star Rating2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor",18% off
"Haier 8 kg Balance Clean Pulsator, Custom Wash Cycles with 15 Mins Quick Wash, Magic Filter Fully Auto...","₹17,490","17,490","27,616 Ratings & 2,377 Reviews","27,616","�2,377 ",800 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from Haier,41% off
Whirlpool 7 kg Magic Clean 5 Star Fully Automatic Top Load Washing Machine Grey,"₹14,990","14,990","21,805 Ratings & 1,466 Reviews","21,805","�1,466 ",740 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years on Prime Mover and Motor,22% off
MOTOROLA 8.5 kg 5 star rating Midnight Series Semi Automatic Top Load Washing Machine Black,"₹9,690","9,690","3,756 Ratings & 292 Reviews","3,756",�292 ,1350 rpm Max Speed5 Star Rating2 Years Warranty on Product and 5 Years Warranty on Wash Motor,42% off
"Haier 8 kg Balance Clean Pulsator, Custom Wash Cycles with 15 Mins Quick Wash, Magic Filter Fully Auto...","₹16,990","16,990",580 Ratings & 66 Reviews,580,�66 ,800 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from Haier,43% off
"MarQ by Flipkart 6.5 kg 5 Star Rating Innowash Range Semi Automatic Top Load Washing Machine Blue, Whi...","₹7,190","7,190","50,157 Ratings & 5,142 Reviews","50,157","�5,142 ",1350 rpm Max Speed5 Star Rating2 Years Warranty on Product and 5 Years Warranty on Motor,44% off
"Godrej 7 kg 5 Star With Rain Shower Spin Washing Machine Semi Automatic Top Load Grey, White","₹9,990","9,990","2,845 Ratings & 179 Reviews","2,845",�179 ,1440 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor,33% off
"LG 8 kg 5 Star with Roller Jet Pulsator with Soak, Wind Jet Dry and Rat Away, 6 Kg (Spin Tub Capacity)...","₹13,999","13,999","2,354 Ratings & 173 Reviews","2,354",�173 ,1350 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Motor From LG,26% off
"Godrej 7.5 kg 5 Star With Rain Shower Spin Washing Machine Semi Automatic Top Load Grey, White","₹10,490","10,490","2,845 Ratings & 179 Reviews","2,845",�179 ,1440 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor,34% off
Thomson 7.5 kg PureWash Fully Automatic Top Load Washing Machine Grey,"₹11,999","11,999","3,216 Ratings & 561 Reviews","3,216",�561 ,840 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor,33% off
LG 7.5 kg 5 Star with Smart Inverter Technology and TurboDrum Fully Automatic Top Load Washing Machine...,"₹18,489","18,489","64,458 Ratings & 4,827 Reviews","64,458","�4,827 ",700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor,27% off
"LG 9 kg Fully Automatic Top Load Washing Machine with In-built Heater Black, Grey","₹27,990","27,990",47 Ratings & 4 Reviews,47,�4 ,780 rpm Max Speed5 Star RatingWith In-Built Heater2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor,23% off
realme TechLife 11 kg MegaWash Range Fully Automatic Top Load Washing Machine with In-built Heater Bla...,"₹19,490","19,490","1,091 Ratings & 97 Reviews","1,091",�97 ,700 rpm Max Speed5 Star RatingWith In-Built Heater2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor,44% off
realme TechLife 7.5 kg 5 Star Rating Fabric Safe Wash Fully Automatic Top Load Washing Machine Grey,"₹11,790","11,790","24,461 Ratings & 2,364 Reviews","24,461","�2,364 ",700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years on Motor,41% off
"realme TechLife 8 kg 5 Star Rating Semi Automatic Top Load Washing Machine White, Black","₹9,690","9,690","63,723 Ratings & 6,055 Reviews","63,723","�6,055 ",1400 RPM Max Speed5 Star Rating2 Years Comprehensive and 5 Years on Wash Motor,44% off
"Haier 9 kg Toughened Glass with Digital Kingfisher Print, Anti Bacterial Vortex Pulsator, 1300 RPM, Sp...","₹14,990","14,990","1,864 Ratings & 99 Reviews","1,864",�99 ,1300 rpm Max Speed5 Star Rating3 Years Comphrehensive Warranty and 5 years in Wash and spin motor Warranty,30% off
"IFB 8 kg 5 Star with Steam Refresh program, 9 Swirl Wash, Eco Inverter, Touch Panel with AI Fully Auto...","₹35,490","35,490","81,727 Ratings & 8,238 Reviews","81,727","�8,238 ","1400 RPM Max Speed5 Star RatingWith In-Built HeaterWith Wi-Fi Connectivity4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor, 10 Years Spares Support",24% off
"SAMSUNG 9 kg Semi Automatic Top Load Washing Machine Black, Grey","₹16,990","16,990","35,286 Ratings & 2,498 Reviews","35,286","�2,498 ","1300 rpm Max Speed5 Star Rating2 years on product, 2 years on motor (T&C Apply)",19% off
"IFB 6.5 kg Powered by AI, 5 Star, 4 years Comprehensive Warranty� with 2x Steam Cycle Fully Automatic ...","₹23,990","23,990","81,727 Ratings & 8,238 Reviews","81,727","�8,238 ","1000 rpm Max Speed5 Star RatingWith In-Built Heater4 Years Comprehensive Warranty on Product, 10 Years Warranty on Motor and 10 Years Spares Support",23% off
Godrej 7.5 Kg 5 Star Germ Shield Technology & Roller Coaster Wash Technology Fully Automatic Top Load ...,"₹16,490","16,490",141 Ratings & 11 Reviews,141,�11 ,750 rpm Max Speed5 Star RatingWith In-Built Heater2 Years Comprehensive Warranty on Product and 5 Years Warranty on Motor,41% off
MOTOROLA 10.5 kg Smart Wi-Fi Enabled Enabled Steam Wash Inverter Technology Fully Automatic Front Load...,"₹25,490","25,490","2,146 Ratings & 286 Reviews","2,146",�286 ,1400 rpm Max Speed5 Star RatingWith In-Built Heater2 Years Comprehensive and 10 Years on Motor From Motorola,60% off
"Voltas Beko 11 kg Fully Automatic Top Load Washing Machine Black, Grey","₹20,590","20,590",453 Ratings & 27 Reviews,453,�27 ,700 rpm Max Speed5 Star Rating1 Year Comprehensive Warranty on Product and 5 Years Warranty on Motor,55% off
"IFB 7 kg 5 Star Aqua Conserve Hard Water Wash, Smart Sense 4 years Comprehensive Warranty Fully Automa...","₹17,490","17,490","19,649 Ratings & 1,590 Reviews","19,649","�1,590 ",720 rpm Max Speed5 Star Rating4 Years Comprehensive Warranty + 10 years Motor Warranty + 10 years Spares Support,18% off
LG 8 kg 5 Star Smart Inverter TurboDrum | Punch + 3 Fully Automatic Top Load Washing Machine Black,"₹19,990","19,990","64,458 Ratings & 4,827 Reviews","64,458","�4,827 ",700 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 10 Years Warranty on Motor,28% off
"Lloyd by Havells 7.5 kg 1300 RPM, Soak Function, 3 Wash Programs, Swift Dry, Magic Filter Semi Automat...","₹9,990","9,990","2,105 Ratings & 163 Reviews","2,105",�163 ,1300 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor,43% off
"SAMSUNG 12 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Blue","₹48,990","48,990","13,226 Ratings & 1,011 Reviews","13,226","�1,011 ",1400 RPM Max Speed5 Star RatingWith In-Built HeaterWith Wi-Fi Connectivity2 Years Comprehensive Warranty on Product and 20 Years Warranty on Digital Inverter Motor,19% off
"Godrej 8 kg 5 Star with Huricane dry spin Washing Machine Semi Automatic Top Load Red, White","₹11,990","11,990","2,845 Ratings & 179 Reviews","2,845",�179 ,1440 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 5 Years on Wash Motor,16% off
Thomson 12 kg 5 Star Aqua Magic Toughen Glass with soft closure and Double Waterfall Semi Automatic To...,"₹12,290","12,290","12,988 Ratings & 1,149 Reviews","12,988","�1,149 ",1400 RPM Max Speed2 Years Warranty on Product and 5 Years Warranty on Motor,31% off
"Whirlpool 7.5 kg 5 Star, Hard Water wash Fully Automatic Top Load Washing Machine Grey","₹16,990","16,990","14,502 Ratings & 1,410 Reviews","14,502","�1,410 ",740 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty and 10 Years Warranty on Motor and Prime Mover from Whirlpool,19% off
Midea 6 kg 5 Star Fully Automatic Front Load Washing Machine with In-built Heater Silver,"₹17,990","17,990",554 Ratings & 76 Reviews,554,�76 ,1000 rpm Max Speed5 Star RatingWith In-Built Heater2 Years Warranty on Product and 10 Years on motor,40% off
Lloyd by Havells 7 kg Semi Automatic Top Load Washing Machine Blue,"₹8,690","8,690","2,105 Ratings & 163 Reviews","2,105",�163 ,1400 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 5 Years Warranty on Wash Motor,42% off
"LG 8 kg 5 Star with AI Direct Drive, 6 Motion Direct Drive and Steam Fully Automatic Front Load Washin...","₹36,990","36,990",450 Ratings & 32 Reviews,450,�32 ,1200 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor,27% off
"BOSCH 6 kg Drive Motor, Anti Tangle, Anti Vibration Fully Automatic Front Load Washing Machine with In...","₹26,490","26,490","10,143 Ratings & 1,116 Reviews","10,143","�1,116 ","800 rpm Max Speed5 Star RatingWith In-Built Heater2 Years Comprehensive on Product , 12 Years on Motor",14% off
"BOSCH 8 kg AntiTangle,AntiVibration,1400RPM Fully Automatic Front Load Washing Machine with In-built H...","₹34,900","34,900","8,690 Ratings & 779 Reviews","8,690",�779 ,"1400 rpm Max Speed5 Star RatingWith In-Built Heater2 Years Comprehensive on Product , 12 Years on Motor",33% off
"Whirlpool 7.5 kg 5 Star, Ace Wash Station Semi Automatic Top Load Washing Machine Grey","₹10,990","10,990","23,519 Ratings & 1,795 Reviews","23,519","�1,795 ","1400 rpm Max Speed5 Star Rating2 Years
  Comprehensive Warranty and 5 Years Warranty on Wash Motor and Prime Mover
  from Whirlpool",21% off
"Haier 7 kg Balance Clean Pulsator, Custom Wash Cycles with 15 Mins Quick Wash, Magic Filter Fully Auto...","₹13,790","13,790","27,616 Ratings & 2,377 Reviews","27,616","�2,377 ",800 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor from Haier,46% off
Godrej 8 kg With AI Tech And Zero Pressure (0.02 MPa) Technology Fully Automatic Top Load Washing Mach...,"₹18,490","18,490","2,336 Ratings & 175 Reviews","2,336",�175 ,650 rpm Max Speed5 Star Rating2 Years Comprehensive Warranty on Product and 10 Years Warranty on Motor,43% off
"SAMSUNG 7 kg 5 star, Hygiene Steam with Inbuilt Heater, LED Display, Diamond Drum, Digital Inverter Fu...","₹30,990","30,990","13,226 Ratings & 1,011 Reviews","13,226","�1,011 ","1000 rpm Max Speed5 Star Rating2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor",35% off
"SAMSUNG 8 kg Soft Closing Door 5 star, Ecobubble,, Super Speed, Digital Inverter Fully Automatic Top L...","₹21,490","21,490","17,692 Ratings & 1,182 Reviews","17,692","�1,182 ","700 rpm Max Speed5 Star Rating2 years comprehensive warranty on the product, 20 years warranty on the DIT Motor",23% off
"SAMSUNG 6 kg 5 star,Air Turbo Drying Semi Automatic Top Load Washing Machine White, Grey, Purple","₹9,090","9,090","35,286 Ratings & 2,498 Reviews","35,286","�2,498 ","1300 rpm Max Speed5 Star Rating2 years on product, 2 years on motor (T&C Apply)",8% off
"IFB 8 kg Powered by AI, 5 Star, 4 years Comprehensive Warranty with 2x Steam Cycle Fully Automatic Fro...","₹29,990","29,990","81,727 Ratings & 8,238 Reviews","81,727","�8,238 ","1200 rpm Max Speed5 Star RatingWith In-Built Heater4 Years Comprehensive Warranty on Product, 10 Years Motor Warranty and 10 Years Warranty on Spares Support",24% off
"MarQ by Flipkart 7.5 kg 5 Star Rating Innowash Range Semi Automatic Top Load Washing Machine Maroon, W...","₹8,190","8,190","50,157 Ratings & 5,142 Reviews","50,157","�5,142 ",1350 rpm Max Speed5 Star Rating2 Years Warranty on Product and 5 Years Warranty on Motor,45% off
