air conditioner,,,,,,,
title,price,ac_price,rating,ac_rating,ac_reviews,description,discount
Godrej 1.5 Ton 3 Star Window AC  - White,"₹28,340","28,340",34 Ratings & 0 Reviews,34 ,�0 ,Annual Power Usage: 1203.74 WRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty on Product and 5 Years Warranty on Compressor,32% off
"LG AI Convertible 6-in-1 Cooling 2024 Model 1.5 Ton 4 Star Split Dual Inverter Viraat Mode, Super Sile...","₹41,990","41,990","40,211 Ratings & 3,623 Reviews","40,211 ","�3,623 ","Annual Power Usage: 838.67 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor from LG",48% off
Whirlpool Convertible 4-in-1 Cooling 2023 Model 0.8 Ton 3 Star Split Inverter 6th Sense Technology AC ...,"₹26,990","26,990","7,396 Ratings & 599 Reviews","7,396 ",�599 ,Annual Power Usage: 748.27 kWhRoom Size: 90 sqft or Below1 Year Comprehensive Warranty on Product and 5 Years Warranty on Compressor,51% off
Lloyd 1 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,"₹28,800","28,800",13 Ratings & 1 Reviews,13 ,�1 ,Annual Power Usage: 700.06 WRoom Size: 90 sqft or Below1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,42% off
SAMSUNG Convertible 5-in-1 Cooling Mode 1.5 Ton 5 Star Split Inverter Anti Bacteria Filter AC  - White,"₹42,990","42,990",432 Ratings & 35 Reviews,432 ,�35 ,"Annual Power Usage: 832.8 kWhRoom Size: 111 - 150 sqft1 Year Standard Warranty on Product, 10 Years Warranty on Compressor",34% off
Daikin 1.5 Ton 5 Star Split Inverter AC  - White,"₹46,990","46,990",46 Ratings & 5 Reviews,46 ,�5 ,"Annual Power Usage: 785.67 kWhRoom Size: 111 - 150 sqft1 Year on Product, 10 Years on Compressor and 5 Years on PCB",30% off
Blue Star 2023 Model 1 Ton 4 Star Split Inverter AC  - White,"₹47,101","47,101","15,213 Ratings & 1,501 Reviews","15,213 ","�1,501 ","Annual Power Usage: 565.65 kWhRoom Size: 90 sqft or Below1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Inverter Compressor",20% off
Lloyd 2023 Model 1.5 Ton 3 Star Split AC  - White,"₹37,990","37,990",94 Ratings & 10 Reviews,94 ,�10 ,Annual Power Usage: 1012.53 kWhRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty on Product and 5 Years Warranty on Compressor,39% off
Blue Star 0.8 Ton 3 Star Window AC  - White,"₹25,880","25,880",55 Ratings & 6 Reviews,55 ,�6 ,"Annual Power Usage: 611.54 WRoom Size: 90 sqft or Below1 Year Warranty on Product, 5 Years Warranty on PCB and 5 Years Warranty on Compressor",13% off
"Godrej 1 Ton 5 Star Split Dual Inverter With Anti-Virus Protection AC  - White, Silver","₹34,999","34,999",83 Ratings & 9 Reviews,83 ,�9 ,Annual Power Usage: 584.46 kWhRoom Size: 90 sqft or Below1 Year Warranty on Product and 10 Years on Compressor,27% off
Panasonic 7 in 1 Convertible with True AI Mode 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - ...,"₹35,990","35,990","24,080 Ratings & 2,439 Reviews","24,080 ","�2,439 ","Annual Power Usage: 1002.31 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",35% off
Lloyd 1.5 Ton 3 Star Split AC  - White,"₹35,789","35,789",773 Ratings & 111 Reviews,773 ,�111 ,Annual Power Usage: 1490 kWhRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty on Product and 5 Years on Compressor,32% off
Hitachi Ice Clean Frost Wash Technology 2023 Model 1.5 Ton 3 Star Split Inverter Xpandable plus Ambien...,"₹39,999","39,999",63 Ratings & 5 Reviews,63 ,�5 ,"Annual Power Usage: 1024.34 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on Controller (PCB) and 10 Years Warranty on Compressor",37% off
Voltas 1.5 Ton 3 Star Split Inverter AC  - White,"₹37,500","37,500","15,528 Ratings & 785 Reviews","15,528 ",�785 ,Annual Power Usage: 1052.15 kWhRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty on Product and 5 Years on Compressor,39% off
Daikin 1 Ton 5 Star Split Inverter AC  - White,"₹38,600","38,600",36 Ratings & 2 Reviews,36 ,�2 ,Annual Power Usage: 523.54 kWhRoom Size: 90 sqft or Below1 Year Comprehensive Warranty on AC and 10 Years on Compressor,30% off
"Blue Star Convertible 4 in 1 Cooling 2023 Model 1 Ton 4 Star Split Inverter Multi Sensors, Stabalizer ...","₹33,990","33,990",154 Ratings & 19 Reviews,154 ,�19 ,"Annual Power Usage: 583.06 kWhRoom Size: 90 sqft or Below1 Year Warranty on Product,�4 Years Warranty on PCB of IDU and ODU (Excluding Remote Handset) and 9 Years Warranty on Inverter Compressor",42% off
Hitachi 2 Ton 3 Star Split Inverter AC  - White,"₹51,890","51,890",7 Ratings & 1 Reviews,7 ,�1 ,Annual Power Usage: 1409.41 WRoom Size: 151 - 200 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,36% off
TCL 1.5 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,"₹33,990","33,990",647 Ratings & 97 Reviews,647 ,�97 ,"Annual Power Usage: 985.71 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",26% off
Voltas 1.5 Ton 5 Star Split Inverter AC  - White,"₹44,500","44,500",13 Ratings & 0 Reviews,13 ,�0 ,Annual Power Usage: 892.9 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,35% off
Lloyd 1 Ton 5 Star Split Inverter AC  - White,"₹37,999","37,999",10 Ratings & 0 Reviews,10 ,�0 ,Annual Power Usage: 574.71 kWhRoom Size: 90 sqft or Below1 Year Comprehensive Warranty on AC and 10 Years on Compressor,34% off
Daikin 1.5 Ton 3 Star Split Inverter AC  - White,"₹42,500","42,500",465 Ratings & 44 Reviews,465 ,�44 ,Annual Power Usage: 1045 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product,19% off
Panasonic 7 in 1 Convertible with True AI Mode 1 Ton 3 Star Split Inverter AC with Wi-fi Connect  - Wh...,"₹31,990","31,990","2,360 Ratings & 252 Reviews","2,360 ",�252 ,"Annual Power Usage: 676.64 WRoom Size: 90 sqft or Below1 Year Warranty on Product, 5 Years Warranty on ODU Casting, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",33% off
Daikin 1.5 Ton 3 Star Hot and Cold Split Inverter AC  - White,"₹48,322","48,322",104 Ratings & 6 Reviews,104 ,�6 ,"Annual Power Usage: 881.05 kWhRoom Size: 111 - 150 sqft1 Year on Product, 10 Years on Compressor and 5 Years on PCB",21% off
Godrej 1 Ton 3 Star Split Inverter AC  - White,"₹29,599","29,599",61 Ratings & 5 Reviews,61 ,�5 ,Annual Power Usage: 752.71 kWhRoom Size: 90 sqft or Below1 Year Warranty on Product and 10 Years on Compressor,31% off
Daikin 1.8 Ton 5 Star Split Inverter AC  - White,"₹62,990","62,990",10 Ratings & 0 Reviews,10 ,�0 ,"Annual Power Usage: 923.07 kWhRoom Size: 151 - 200 sqft1 Year on Product, 10 Years on Compressor and 5 Years on PCB",24% off
Daikin 1.5 Ton 3 Star Split AC  - White,"₹40,699","40,699",26 Ratings & 1 Reviews,26 ,�1 ,Annual Power Usage: 989.31 kWhRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty on AC and 5 Years on Compressor,26% off
BLACK+DECKER 2 Ton 3 Star Split Inverter AC  - White,"₹39,999","39,999",N/A,#VALUE!,#VALUE!,"Annual Power Usage: 1248.28 WRoom Size: 151 - 200 sqft2 Years Comprehensive Warranty on product, 5 Years Warranty on PCB, 10 Years Warranty on Compressor, 10 Years Part Support",44% off
"Haier Frost Self-Clean 2023 Model 1 Ton 5 Star Split Inverter Intelli Convertible 7-in-1, Triple Inver...","₹38,499","38,499",162 Ratings & 27 Reviews,162 ,�27 ,Annual Power Usage: 536.38 kWhRoom Size: 90 sqft or Below5 Years Comprehensive Warranty and 12 Years Compressor Warranty,40% off
"Haier Frost Self-Clean 2023 Model 1 Ton 3 Star Split Inverter Intelli smart, Intelli Convertible 7-in-...","₹34,990","34,990",11 Ratings & 2 Reviews,11 ,�2 ,Annual Power Usage: 694.49 kWhRoom Size: 90 sqft or Below1 Year Comprehensive Warranty on Product and 12 Years Warranty on Compressor,43% off
Lloyd 1 Ton 3 Star Window AC  - White,"₹26,890","26,890",16 Ratings & 1 Reviews,16 ,�1 ,Annual Power Usage: 774.11 WRoom Size: 90 sqft or Below1 Year Warranty on Product and 10 Years Warranty on Compressor,38% off
Whirlpool 1.5 Ton 5 Star Split Inverter AC  - White,"₹38,390","38,390",10 Ratings & 0 Reviews,10 ,�0 ,Annual Power Usage: 867.41 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years on Compressor,48% off
Blue Star 2 Ton 5 Star Split Inverter AC  - Grey,"₹58,990","58,990",86 Ratings & 2 Reviews,86 ,�2 ,"Annual Power Usage: 935.89 WRoom Size: 151 - 200 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",30% off
Blue Star 1.5 Ton 5 Star Split Inverter AC  - White,"₹43,990","43,990","15,213 Ratings & 1,501 Reviews","15,213 ","�1,501 ","Annual Power Usage: 770.98 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 10 Years Warranty on Inverter Compressor and 5 Years Warranty on PCB",40% off
SAMSUNG 2024 Model 2 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,"₹54,990","54,990",432 Ratings & 35 Reviews,432 ,�35 ,Annual Power Usage: 1145.22 kWhRoom Size: 151 - 200 sqft1 Year Standard Warranty on Product and 10 Years Warranty on Compressor,34% off
Daikin 1.8 Ton 1 Star Split AC  - White,"₹41,999","41,999",7 Ratings & 0 Reviews,7 ,�0 ,Annual Power Usage: 1435.97 kWhRoom Size: 151 - 200 sqft1 Year Warranty on Product and 5 Years Warranty on Compressor,32% off
Godrej 5-In-1 Convertible Cooling 2024 Model 2 Ton 5 Star Split Inverter with 4-way Air Swing AC AC  -...,"₹50,490","50,490","1,045 Ratings & 63 Reviews","1,045 ",�63 ,"Annual Power Usage: 916.68 kWhRoom Size: 151 - 200 sqft5 Years Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",26% off
Lloyd 1 Ton 5 Star Split Inverter AC  - White,"₹36,999","36,999",6 Ratings & 1 Reviews,6 ,�1 ,Annual Power Usage: 587.66 kWhRoom Size: 90 sqft or Below1 Year Comprehensive Warranty on AC and 10 Years Warranty on Compressor,26% off
ONIDA 1.5 Ton 3 Star Split Dual Inverter AC  - White,"₹53,399","53,399","9,074 Ratings & 1,045 Reviews","9,074 ","�1,045 ",Annual Power Usage: 1098.01 kWhRoom Size: 111 - 150 sqft1 Year on Product and 5 Year on Compressor from Onida,N/A
Godrej 1 Ton 5 Star Split Inverter AC  - White,"₹37,800","37,800",55 Ratings & 5 Reviews,55 ,�5 ,Annual Power Usage: 611.29 kWhRoom Size: 90 sqft or Below1 Year Comprehensive and 10 Years on Compressor,31% off
Godrej 2 Ton Split Inverter AC  - White,"₹41,350","41,350",24 Ratings & 1 Reviews,24 ,�1 ,Room Size: 151 - 200 sqft,32% off
Godrej 5-in-1 Convertible Cooling 2023 Model 1.7 Ton 3 Star Split Inverter With Heavy Duty Cooling at ...,"₹35,290","35,290",15 Ratings & 1 Reviews,15 ,�1 ,"Annual Power Usage: 1131.4 kWhRoom Size: 151 - 200 sqft1 Year Warranty on Whole Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",29% off
Lloyd 1.5 Ton 5 Star Window AC  - White,"₹35,749","35,749",4 Ratings & 0 Reviews,4 ,�0 ,Annual Power Usage: 1072.14 kWhRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty on Product and 5 Years Warranty on Compressor,34% off
"Hitachi 1.8 Ton 4 Star Split Inverter AC  - White, Gold","₹56,499","56,499",N/A,#VALUE!,#VALUE!,"Annual Power Usage: 1084.82 kWhRoom Size: 151 - 200 sqft1 Year Warranty on Complete Unit, 5 Years Warranty on Controller PCB, 10 Years Warranty on Compressor",34% off
"Panasonic 7 in 1 Convertible with True AI Mode,Matter Enabled 1.5 Ton 5 Star Split Inverter AC with Wi...","₹43,990","43,990","24,080 Ratings & 2,439 Reviews","24,080 ","�2,439 ","Annual Power Usage: 774.19 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",30% off
Blue Star 1.5 Ton 3 Star Split Inverter AC  - White,"₹36,490","36,490",N/A,#VALUE!,#VALUE!,Annual Power Usage: 1012.44 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 5 Years Warranty on Compressor,41% off
CARRIER 2023 Model HD Filteration 1.5 Ton 3 Star Split AI Flexicool Inverter With Auto Cleanser AC  - ...,"₹40,100","40,100",140 Ratings & 26 Reviews,140 ,�26 ,"Annual Power Usage: 1575 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",41% off
Hitachi 2023 Model 1 Ton 3 Star Split Inverter AC  - White,"₹32,250","32,250",14 Ratings & 1 Reviews,14 ,�1 ,Annual Power Usage: 669.16 kWhRoom Size: 90 sqft or Below1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,40% off
Hitachi Ice Clean Frost Wash Technology 2023 Model 1 Ton 5 Star Split Inverter Xpandable plus Ambience...,"₹38,499","38,499",63 Ratings & 5 Reviews,63 ,�5 ,"Annual Power Usage: 533.61 kWhRoom Size: 90 sqft or Below1 Year Warranty on Product, 5 Years Warranty on Controller (PCB) and 10 Years Warranty on Compressor",39% off
Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 1.5 Ton 5 Star Split Inverter ...,"₹51,720","51,720",355 Ratings & 42 Reviews,355 ,�42 ,"Annual Power Usage: 774.19 kWhRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",32% off
"Haier UVC Sterilization 2023 Model 1.6 Ton 5 Star Split Inverter Frost Self-clean technology, Superson...","₹53,999","53,999",20 Ratings & 0 Reviews,20 ,�0 ,Annual Power Usage: 828.37 kWhRoom Size: 151 - 200 sqft5 Years Comprehensive Warranty and 12 Years Compressor Warranty,32% off
Hitachi 2023 Model 1.5 Ton 5 Star Split Inverter AC  - White,"₹46,490","46,490",9 Ratings & 1 Reviews,9 ,�1 ,Annual Power Usage: 813.13 kWhRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,36% off
Daikin 2.02 Ton 3 Star Split Inverter AC with PM 2.5 Filter  - White,"₹62,999","62,999",3 Ratings & 1 Reviews,3 ,�1 ,Annual Power Usage: 1372.85 kWh1 Year Warranty on Product and 10 Years Warranty on Compressor and 5 Years Warranty on PCB (Printed Circuit Board),27% off
Daikin 1.8 Ton 1 Star Split AC with PM 2.5 Filter  - White,"₹45,290","45,290",11 Ratings & 0 Reviews,11 ,�0 ,Annual Power Usage: 1435.97 kWhRoom Size: 151 - 200 sqft1 Year Warranty on Product and 5 Years on Compressor,26% off
Blue Star 1.5 Ton 3 Star Split Turbo AC  - White,"₹37,850","37,850",3 Ratings & 0 Reviews,3 ,�0 ,Room Size: 111 - 150 sqft,40% off
Daikin 2023 Model 1.5 Ton 3 Star Split Inverter AC with PM 2.5 Filter  - White,"₹36,490","36,490","13,571 Ratings & 1,019 Reviews","13,571 ","�1,019 ",Annual Power Usage: 966.47 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor and 5 Years Warranty on PCB (Printed Circuit Board),37% off
Panasonic 7 in 1 Convertible with True AI Mode 2 Ton 3 Star Split Inverter AC with Wi-fi Connect  - Wh...,"₹50,990","50,990","24,080 Ratings & 2,439 Reviews","24,080 ","�2,439 ","Annual Power Usage: 1215.59 WRoom Size: 151 - 200 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",26% off
BLACK+DECKER 1.5 Ton 3 Star Split Inverter AC  - White,"₹36,999","36,999",N/A,#VALUE!,#VALUE!,"Annual Power Usage: 991.28 WRoom Size: 111 - 150 sqft2 Years Comprehensive Warranty on product, 5 Years Warranty on PCB, 10 Years Warranty on Compressor, 10 Years Part Support",36% off
Blue Star 1.5 Ton 5 Star Split Inverter AC  - White,"₹44,850","44,850",3 Ratings & 2 Reviews,3 ,�2 ,Annual Power Usage: 774.88 kWhRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,39% off
"Panasonic 7 in 1 Convertible with True AI Mode,Matter Enabled 1 Ton 5 Star Split Inverter AC with Wi-f...","₹42,790","42,790",25 Ratings & 3 Reviews,25 ,�3 ,"Annual Power Usage: 523.98 WRoom Size: 90 sqft or Below1 Year Warranty on Product, 5 Years Warranty on PCB and 5 Years Warranty on ODU Casing and 10 Years Warranty on Compressor",30% off
IFB AI Convertible 8-in-1 Cooling 2024 Model 1 Ton 3 Star Split Inverter With Heavy Duty Cooling AC  -...,"₹33,000","33,000","6,746 Ratings & 584 Reviews","6,746 ",�584 ,"Annual Power Usage: 655.6 WRoom Size: 90 sqft or Below1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",18% off
Whirlpool 1.5 Ton 5 Star Split Inverter AC  - White,"₹42,500","42,500",160 Ratings & 17 Reviews,160 ,�17 ,"Annual Power Usage: 867.41 kWhRoom Size: 111 - 150 sqft1 Year on Product, 1 Year on Condenser and 10 Years on Compressor from Whirlpool",31% off
Blue Star 1 Ton 5 Star Split Inverter AC  - White,"₹38,989","38,989",N/A,#VALUE!,#VALUE!,Annual Power Usage: 536.27 WRoom Size: 90 sqft or Below1 Year Warranty on Product and 10 Years Warranty on Compressor,38% off
SAMSUNG Convertible 5-in-1 Cooling Mode 1.5 Ton 3 Star Split Inverter Anti Bacteria Filter AC  - White,"₹37,746","37,746",94 Ratings & 5 Reviews,94 ,�5 ,"Annual Power Usage: 1044.19 kWhRoom Size: 111 - 150 sqft1 Year Standard Warranty on Product, 10 Years Warranty on Compressor",34% off
Godrej 1 Ton 3 Star Window AC  - White,"₹27,990","27,990",N/A,#VALUE!,#VALUE!,"Annual Power Usage: 772.56 WRoom Size: 90 sqft or Below1 Year on Product, 5 Years on PCB and 10 Years on Compressor",22% off
Daikin 1.8 Ton 3 Star Split Inverter AC  - White,"₹52,450","52,450",N/A,#VALUE!,#VALUE!,Annual Power Usage: 1161.78 kWhRoom Size: 151 - 200 sqft1 Year Comprehensive Warranty on AC and 10 Years on Compressor,28% off
SAMSUNG 2022 Model 1.5 Ton 3 Star Split Inverter AC  - White,"₹35,999","35,999",4 Ratings & 1 Reviews,4 ,�1 ,Annual Power Usage: 977.8 kWhRoom Size: 111 - 150 sqft1 Year Standard Warranty on Product and 10 Years Warranty on Compressor,40% off
Panasonic 7 in 1 Convertible 1.5 Ton 3 Star Split Inverter AC  - White,"₹36,790","36,790",598 Ratings & 73 Reviews,598 ,�73 ,"Annual Power Usage: 952.59 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on ODU Casting, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",32% off
CARRIER 1.5 Ton 5 Star Split Inverter AC  - White,"₹47,500","47,500",391 Ratings & 50 Reviews,391 ,�50 ,Annual Power Usage: 754.05 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years on Compressor,37% off
Electrolux Convertible 1.5 Ton 3 Star Split Inverter Expandable Anti-bacterial & PM2.5 Filter AC  - Wh...,"₹36,500","36,500",4 Ratings & 1 Reviews,4 ,�1 ,Annual Power Usage: 1000.9 kWhRoom Size: 111 - 150 sqft1 Year Standard Warranty on Product; 10 Years Warranty on Compressor; 5 Years Warranty on  PCB,44% off
Haier 1.5 Ton 3 Star Split AC  - White,"₹38,900","38,900",630 Ratings & 67 Reviews,630 ,�67 ,"Annual Power Usage: 1123.23 kWhRoom Size: 111 - 150 sqft1 Year on Product (Comprehensive), 6 Years on Compressor.",36% off
Hitachi 2023 Model 1.5 Ton 5 Star Split Inverter AC  - White,"₹45,100","45,100",26 Ratings & 2 Reviews,26 ,�2 ,Annual Power Usage: 813.13 kWhRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,39% off
Voltas 1 Ton 3 Star Split AC  - White,"₹30,999","30,999",26 Ratings & 3 Reviews,26 ,�3 ,Annual Power Usage: 700.57 kWhRoom Size: 90 sqft or Below1 Year Warranty on Product and 5 Years Warranty on Compressor,45% off
Voltas 1.5 Ton 3 Star Split Inverter AC  - White,"₹37,100","37,100","24,734 Ratings & 2,025 Reviews","24,734 ","�2,025 ",Annual Power Usage: 1039.98 kWhRoom Size: 111 - 150 sqft1 Year on Product and 5 Years on Compressor from Voltas,33% off
Voltas 1.5 Ton 5 Star Split Inverter adjustible AC  - White,"₹43,800","43,800",30 Ratings & 5 Reviews,30 ,�5 ,Annual Power Usage: 893.02 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years on Compressor,41% off
Voltas 1.5 Ton 5 Star Split AC  - White,"₹42,330","42,330",28 Ratings & 1 Reviews,28 ,�1 ,Annual Power Usage: 759.07 kWhRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,44% off
ONIDA 1.5 Ton 3 Star Split Inverter AC  - White,"₹36,500","36,500",206 Ratings & 20 Reviews,206 ,�20 ,Annual Power Usage: 1002.84 kWhRoom Size: 111 - 150 sqft1 Year on Product and 5 Year on Compressor from Onida,36% off
Haier 1.6 Ton 5 Star Split Inverter AC  - White,"₹43,490","43,490",7 Ratings & 1 Reviews,7 ,�1 ,Annual Power Usage: 880.3 kWhRoom Size: 151 - 200 sqft1 Year Warranty on Product and 12 Years on Compressor,40% off
Lloyd 1.5 Ton 5 Star Split Inverter AC  - White,"₹40,490","40,490","8,657 Ratings & 1,179 Reviews","8,657 ","�1,179 ",Annual Power Usage: 715.07 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,39% off
Godrej 1.7 Ton 3 Star Split Inverter AC  - White,"₹34,649","34,649",N/A,#VALUE!,#VALUE!,"Annual Power Usage: 1118.35 WRoom Size: 151 - 200 sqft1 Year on Product, 5 Years on PCB and 10 Years on Compressor",30% off
Hitachi Ice Clean Frost Wash Technology 2023 Model 1.8 Ton 4 Star Split Inverter Xpandable plus Ambien...,"₹57,999","57,999","2,523 Ratings & 215 Reviews","2,523 ",�215 ,"Annual Power Usage: 1096.51 kWhRoom Size: 151 - 200 sqft1 Year Warranty on Product, 5 Years Warranty on Controller (PCB) and 10 Years Warranty on Compressor",39% off
Daikin 1.5 Ton 5 Star Split Inverter AC  - White,"₹46,950","46,950",N/A,#VALUE!,#VALUE!,"Annual Power Usage: 785.99 WRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty on Product, 5 Years Warranty on PCB, and 10 Years Warranty on Compressor",30% off
Lloyd 1.5 Ton 3 Star Split Inverter AC  - White,"₹35,300","35,300",14 Ratings & 1 Reviews,14 ,�1 ,Annual Power Usage: 940.43 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,43% off
CARRIER 1.5 Ton 3 Star Split Inverter AC  - White,"₹41,300","41,300",271 Ratings & 21 Reviews,271 ,�21 ,Annual Power Usage: 964.1 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor from Carrier,40% off
Whirlpool 1.5 Ton 3 Star Split Inverter AC  - White,"₹32,990","32,990",30 Ratings & 4 Reviews,30 ,�4 ,"Annual Power Usage: 0 kWhRoom Size: 111 - 150 sqft1 Year on Comprehensive Unit , 10 years on compressor & 1 year on condensor",49% off
Blue Star 1 Ton 3 Star Split Inverter AC  - White,"₹31,699","31,699",13 Ratings & 0 Reviews,13 ,�0 ,Annual Power Usage: 703.9 WRoom Size: 90 sqft or Below1 Year Warranty on Product and 5 Years Warranty on Compressor,38% off
Blue Star 1.5 Ton 3 Star Split Inverter AC  - White,"₹35,999","35,999",12 Ratings & 1 Reviews,12 ,�1 ,Annual Power Usage: 998.07 kWhRoom Size: 111 - 150 sqft1 Year on Product and 10 Years on Compressor,42% off
Blue Star 2 Ton 3 Star Window Inverter AC  - White,"₹39,999","39,999",10 Ratings & 1 Reviews,10 ,�1 ,"Annual Power Usage: 1464.72 WRoom Size: 151 - 200 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and Lifetime Warranty on Compressor",27% off
Voltas 2023 Model 2 Ton 2 Star Window AC  - White,"₹36,440","36,440",55 Ratings & 2 Reviews,55 ,�2 ,Annual Power Usage: 1542.79 kWhRoom Size: 151 - 200 sqft1 Year Warranty on Product and 5 Years Warranty on Compressor,24% off
realme TechLife 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,"₹32,490","32,490","1,394 Ratings & 185 Reviews","1,394 ",�185 ,Annual Power Usage: 767.34 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years on Compressor,50% off
Voltas 1.5 Ton 3 Star Split Inverter AC  - White,"₹37,200","37,200",129 Ratings & 15 Reviews,129 ,�15 ,Annual Power Usage: 1685 kWhRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty on AC and 10 Years on Compressor,39% off
Hitachi 1.5 Ton 3 Star Split Inverter AC  - White,"₹37,985","37,985",5 Ratings & 0 Reviews,5 ,�0 ,"Annual Power Usage: 1012.62 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB and 5 Years Warranty on Compressor",38% off
Lloyd 2023 Model 1 Ton 3 Star Split AC  - White,"₹36,030","36,030",56 Ratings & 7 Reviews,56 ,�7 ,Annual Power Usage: 709.86 kWhRoom Size: 90 sqft or Below1 Year Comprehensive Warranty on Product and 5 Years Warranty on Compressor,27% off
Haier 1.6 Ton 5 Star Split Inverter AC  - White,"₹43,500","43,500",3 Ratings & 0 Reviews,3 ,�0 ,Annual Power Usage: 836.95 WRoom Size: 151 - 200 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,44% off
Haier 1 Ton 3 Star Split Inverter AC  - White,"₹32,977","32,977","1,295 Ratings & 129 Reviews","1,295 ",�129 ,Annual Power Usage: 732.84 kWhRoom Size: 90 sqft or Below1 Year Warranty on Product and 12 Years on Compressor,44% off
SAMSUNG 1.5 Ton 5 Star Split Inverter AC  - White,"₹45,309","45,309","9,045 Ratings & 823 Reviews","9,045 ",�823 ,Annual Power Usage: 863.15 kWhRoom Size: 111 - 150 sqft1 year on product and 10 year on compressor,25% off
"Haier 1.5 Ton 3 Star Split Dual Inverter with Micro Bacterial Filter, 54 High Ambient Performance, Low...","₹37,800","37,800","2,879 Ratings & 341 Reviews","2,879 ",�341 ,Annual Power Usage: 925.24 WRoom Size: 111 - 150 sqft5 Years Warranty on Product and 12 Years Warranty on Compressor,37% off
Electrolux Convertible 1.5 Ton 5 Star Split Inverter Expandable Anti-bacterial & PM2.5 Filter with Pla...,"₹73,990","73,990",4 Ratings & 1 Reviews,4 ,�1 ,Annual Power Usage: 758.6 kWhRoom Size: 111 - 150 sqft1 Year Standard Warranty on Product; 10 Years Warranty on Compressor; 5 Years Warranty on  PCB,N/A
Godrej 2023 Model 1 Ton 3 Star Split Inverter AC  - White (Chrome),"₹29,500","29,500",N/A,#VALUE!,#VALUE!,Room Size: 90 sqft or Below,29% off
